"","Canonical","NonCanonical","Atypical"
"1","RMRP","CCNK","KDM6B"
"2","SCARNA5","ATP5F1E","TNFRSF1B"
"3","SNORA73A","USP19","EPHA2"
"4","ARPIN","RMRP","PLAUR"
"5","SNORA73B","RPL23AP53","NOCT"
"6","RPPH1","MAN2B2","FLJ42393"
"7","RPL13AP3","DHX38","ARGFXP2"
"8","SNORD3B-1","RNU12","LILRA2"
"9","RN7SK","H2BC15","CIMAP1D"
"10","SNORD15A","FURIN","PHACTR1"
"11","SNORA28","SETD1B","LINC00319"
"12","SNORD17","RPL39","ADAMTSL4"
"13","VPS18","RPS20","USP49"
"14","CD86","SRF","PTX3"
"15","RNVU1-18","PFDN5","SOX7"
"16","LRRC2","SP2","TMEM14EP"
"17","FHL1","RPL23A","LILRA6"
"18","PIK3R5","PTBP1","HBEGF"
"19","PYY2","RPL27","APOBEC3A"
"20","PPP6R1","RPL35A","ADAMTS4"
"21","LGALS1","H2AC21","APCDD1L"
"22","PPP1R37","RPS27A","SOCS3"
"23","GPLD1","RAPGEF1","LRRC2"
"24","RNU2-2P","SNORA81","SLC2A13"
"25","TBXAS1","ZNF525","PPP6R1"
"26","LNPK","RPPH1","KRT79"
"27","GPR182","RPL37","GPR179"
"28","NNMT","RPL13AP3","CD86"
"29","KRT79","SNORA73A","GPR182"
"30","MOCS3","RPL13A","NMU"
"31","PTCHD4","RPL36A","OR52E8"
"32","PPP1R14A","MRTFA","HAL"
"33","GPR179","RPL23P8","TNFAIP6"
"34","FAM216B","RPL38","ATXN3L"
"35","SNORA74A","RPS18","IL1B"
"36","UCP3","RPL23AP7","MAGEB6"
"37","AANAT","MED12","IGLC1"
"38","NXN","RPS25","IGLL5"
"39","LINC01667","RPL31","JCHAIN"
"40","RPA4","RPS24","PTGS2"
"41","SLC2A13","DLGAP1-AS1","SFTA2"
"42","TSC22D1-AS1","SNORA73B","NWD2"
"43","SZT2","RPL36AL","TNFRSF17"
"44","ATXN3L","FAM193A","IL13"
"45","LOC283731","PPP1R26","HCAR3"
"46","TRDV2","RPL23AP87","SPINK4"
"47","POT1","EP300","GSTT1"
"48","GLIDR","RPS10P7","KLK7"
"49","GGT8P","RPL7","MMP3"
