"","Canonical","NonCanonical","Atypical"
"1","IFITM3","TMEM258","ESM1"
"2","PFDN4","ATP6V1F","UQCR10"
"3","CDK4","RNF181","NDUFB1"
"4","IFITM1","OST4","GRIN2D"
"5","NICOL1","SLF2","VAMP8"
"6","IFITM4P","NEDD8","COX8A"
"7","METTL26","TOMM6","NDUFA1"
"8","ASCL2","SIVA1","INHBA"
"9","ATP6V1F","GPX1","NDUFB8"
"10","FUT1","LSM7","COX7C"
"11","NUDT1","RPL39","FKBP2"
"12","FOXQ1","ZNF525","TST"
"13","CYTOR","FAU","MORC2"
"14","NIT2","UQCR11","ATP5MG"
"15","TRMT112","MICOS13","GNG7"
"16","UBE2C","RPL27","NANS"
"17","IFITM2","USP49","FAM162A"
"18","NMB","SF3B5","NDUFB7"
"19","MDFI","PET100","POLD4"
"20","VMA21","ATOX1","COX5B"
"21","MRPS17","SNRPD2","AJUBA"
"22","CPEB3","RPS13","ANGPT2"
"23","KRT80","ROMO1","CLDN1"
"24","GEMIN6","MRPS24","ALKBH7"
"25","HILPDA","UBA52","NDUFA13"
"26","CMSS1","BRK1","SDHD"
"27","GPX1","NME2","FOXK1"
"28","CLDN1","ACAP3","NDUFA6"
"29","MRGBP","TMEM208","COX7A2"
"30","MYL6B","NDUFA11","ISCA2"
"31","SNRPD2","ATP5MG","ATP11A"
"32","CDK5","RPL36","PRADC1"
"33","TRIB3","POLR2L","NDUFA2"
"34","FABP6","RPL10","SERF2"
"35","WNT2","UBXN7","EDF1"
"36","PAM16","LCLAT1","NDUFC1"
"37","CKS2","TRMT112","NDUFB10"
"38","BID","RPL39P5","SOX4"
"39","CASD1","RPS15A","TMEM9B"
"40","DMXL1","NDUFA4","SALL4"
"41","INHBA","MRPL53","SLC39A10"
"42","NAP1L2","RPL23AP53","AMN"
"43","NCOA1","RPS25","KRT80"
"44","XKR4","RPL35","TMEM54"
"45","LAGE3","BOLA2B","CD79A"
"46","KCNIP4","TAF10","MRPS36"
"47","SHMT2","DAD1","LAMTOR4"
"48","ATOSA","RPS15AP10","PRDX6"
"49","CDH3","SEC61B","UBXN7"
"50","CTNND1","NDUFB2","MRPL41"
"51","PLP1","MRPL52","ATP5MC2"
"52","ASPA","NDUFB7","ATP5ME"
"53","RAB14","ANKRD36BP1","MMP28"
"54","ACBD6","SLIRP","TMEM238"
"55","RNF112","RPL36AL","COX6B1"
"56","CKS1B","RPP21","LINC02595"
"57","DCUN1D5","SON","LGALS3"
"58","TGFBI","COX6B1","GPT2"
"59","TMEM131","COX14","MPC1"
"60","PDCD5","RPL37","UQCR11"
"61","OLA1","RBX1","ECI1"
"62","ZNF397","RPL10L","ATP5PF"
"63","SNRPC","SELENOH","CYSTM1"
"64","CCDC85B","RPS10","COX6A1"
"65","RNASEH2A","PFDN5","ATP5MC3"
"66","RIPK2","TRAPPC5","UQCRFS1"
"67","TMEM160","PSMB4","COX14"
"68","PHACTR4","UBL5","PTRHD1"
"69","FAM13A-AS1","NDUFB11","NDUFB2"
"70","TOMM6","PPIA","PXMP2"
"71","GADD45GIP1","NDUFA13","C12orf57"
"72","NDUFAF2","POLR2G","VTI1B"
"73","CAMK2D","PDE7A","PHF20"
"74","PMP2","RPL30","KIAA1549"
"75","MALSU1","UXT","POGLUT2"
"76","ESM1","RPL24","NPC2"
"77","SNHG6","LCOR","NDUFB4"
"78","LNPK","NDUFAF3","UQCRQ"
"79","CSE1L","HLA-F-AS1","ATP5IF1"
"80","POP7","POLR2F","ADGRF5"
"81","PDCD4","TIMM8B","SEC11C"
"82","ZFAS1","ATP5F1E","COX5A"
"83","SLC29A1","LTBP4","ATP5PO"
"84","GNPTAB","RPSA","MYL6"
"85","LYRM4","RPS27A","PHGR1"
"86","METTL5","RPL23AP7","WNT2"
"87","HIKESHI","EP300","BRCA2"
"88","ADAM28","SNRPGP15","HIGD1A"
"89","PSMA7","MRPL51","FOXQ1"
"90","ATOX1","RPS7","ZNF281"
"91","CENPN","OAZ1","CCL15"
"92","UBE2S","RPS7P5","MAP4K4"
"93","PTTG1","NDUFA7","SQOR"
"94","GTF3A","POLR2I","ATP5MK"
"95","POLR2F","SNRPC","HERPUD1"
"96","UQCC2","RPS2P32","ETV4"
"97","INTS6L","MEA1","SSR4"
"98","ZZEF1","ZNF397","SF3B5"
"99","C19orf48P","ANAPC11","PLXNA1"
"100","TIMM8A","SEM1","ETHE1"
"101","PTTG2","RPL38","COX4I1"
"102","LCOR","NCOA3","OST4"
"103","STIM1","RPL10A","JAG2"
"104","TESC","NOP10","LGALS4"
"105","PPIA","ERH","TMEM132A"
"106","MIF-AS1","SNU13","SLC7A5"
"107","MRPL36","RPS28","COX7B"
"108","PFDN2","RPL21","TMEM98"
"109","CPNE7","METTL26","ATP5MJ"
"110","LSM8","RPL14","CEMIP"
"111","TIMM50","GABPB1-IT1","TSPO"
"112","GRIN2D","RPS2P47","FUT1"
"113","BCL2L12","NME1","GABARAP"
"114","PACSIN2","ZNHIT1","ATP5PB"
"115","ANGPTL1","CCL24","HINT1"
"116","PADI2","NDUFS5","TMEM59"
"117","VSTM2A-OT1","RPL23A","TPX2"
"118","NEXMIF","WDR83OS","MED11"
"119","NME1","RPL35A","CDC25B"
"120","AKIP1","POP7","SELENOK"
"121","NOL4","SZT2","NDUFB3"
"122","RELCH","NDUFB4","MICOS10"
"123","RPS15AP10","RPS29","STC2"
"124","RPL26L1","GOLGA2","CBX4"
"125","ZNF575","SSR4","ID2"
"126","EBPL","HAX1","PRRC2A"
"127","DTYMK","RPL6","C15orf48"
"128","VPS4B","COX8A","NDRG2"
"129","EGFL6","TMEM147","CEP72"
