"","Canonical","NonCanonical","Atypical"
"1","ASCL2","SNRPC","ESM1"
"2","CDK4","TOMM6","UQCR10"
"3","NUDT1","NCOA1","NDUFA6"
"4","UBE2C","NIT2","FAM162A"
"5","PFDN4","METTL26","NDUFB1"
"6","CMSS1","ATP6V1F","NDUFA1"
"7","METTL26","POLR2G","COX8A"
"8","IFITM3","TRMT112","GRIN2D"
"9","IFITM1","SNRPD2","SDHD"
"10","FUT1","NME1","MORC2"
"11","CASD1","MEA1","COX7C"
"12","NICOL1","UQCC2","COX5B"
"13","FOXQ1","VMA21","MPC1"
"14","NIT2","RPP21","ATP5PF"
"15","VMA21","GEMIN6","COX7A2"
"16","ATOSA","NME2","ATP5MG"
"17","IFITM4P","MRPS24","ISCA2"
"18","VPS4B","MRPS17","ATP5MC3"
"19","NMB","ZNF525","COX7B"
"20","CPEB3","TMEM258","NDUFB4"
"21","CKS2","NUDT1","MMP28"
"22","CSE1L","PPIA","NDUFB3"
"23","GEMIN6","H2AC12","NDUFB8"
"24","CYTOR","GPX1","PRDX6"
"25","CTNND1","LSM5","MRPS36"
"26","PLP1","CCDC167","FOXK1"
"27","RNASEH2A","RPL23AP53","UQCRFS1"
"28","SHMT2","H2BC15","INHBA"
"29","MRPS17","H2AC17","NDUFA2"
"30","HILPDA","RPL39","NDUFC1"
"31","MYL6B","H2AC15","HIGD1A"
"32","DHDDS","MRPL11","COX6A1"
"33","NAP1L2","HLA-F-AS1","NDUFB10"
"34","TRMT112","SNRPGP15","PTRHD1"
"35","IFITM2","H2AC8","SCAF1"
"36","LAGE3","SON","CD79A"
"37","ACBD6","CKS2","NDUFB7"
"38","DMXL1","RPL39P5","ANGPT2"
"39","FABP6","LYRM4","SALL4"
"40","ATP6V1F","NDUFA4","COX14"
"41","ENDOD1","RPL26L1","PXMP2"
"42","TRIB3","CKS1B","VAMP8"
"43","MDFI","GOLGA2","ATP5ME"
"44","PTTG1","METTL5","GNG7"
"45","DTYMK","RPS10","ATP5PD"
"46","TIMM8A","ROMO1","CCL15"
"47","NCOA1","MCTS1","PRADC1"
"48","OLA1","LSM7","OST4"
"49","MRGBP","MALSU1","ATP5MC1"
"50","CKS1B","RNF181","ATP5MK"
"51","HMGB3P1","MRPL52","ATP5MC2"
"52","CLDN1","HSPE1","BOLA3"
"53","PAM16","TIMM8A","NDUFB2"
"54","CPNE7","ZNF397","HINT1"
"55","INHBA","H2AC14","UQCR11"
"56","SLC29A1","SNHG6","MGST3"
"57","XKR4","ANAPC11","LINC02595"
"58","PACSIN2","RPL27","JAG2"
"59","SNRPC","POLR2F","ATP5PO"
"60","CCDC85B","CPEB3","NOTCH1"
"61","MINDY4","LAGE3","LGALS3"
"62","RELCH","RPA3","COX6B1"
"63","SYTL4","MRPL58","SEC11C"
"64","TP53INP2","RPS7P5","DAD1"
"65","PDCD4","TOMM5","UQCRQ"
"66","AHCYL2","PFDN4","TMEM98"
"67","ASPA","SIVA1","COX4I1"
