"","Canonical","NonCanonical","Atypical"
"1","ADAMTS4","GFPT2","MT2A"
"2","SOCS3","SOCS3","MT1L"
"3","TMEM158","ADAMTS4","MT1B"
"4","STC1","TNFAIP6","MT1X"
"5","SNAI1","EGR3","IL17C"
"6","IL1A","NLRP7","PPM1H"
"7","APLN","IL1B","MT1H"
"8","GPR4","APOBEC3A","FAM227A"
"9","WT1","MIR3945HG","PDX1"
"10","ARC","OLR1","MT1E"
"11","SLC51B","TNFRSF17","SSX4B"
"12","C2CD4A","FOSB","ETV4"
"13","CEMIP","COL4A6","C4BPA"
"14","GSC","HCAR3","PRDM12"
"15","MT1M","TREM1","MT1M"
"16","ATG9B","IGHA2","GJC3"
"17","MT1G","SPP1","AZGP1"
"18","MT1E","IL13","WT1"
"19","OR4F4","HTR4","SYN3"
"20","MSX1","CNTN3","SSTR2"
"21","MT1F","MMP13","RIPPLY3"
"22","EGR3","CA4","CCL23"
"23","NR4A3","MTTP","SLC6A20"
"24","REP15","SI","RNF183"
"25","LINC02595","CLDN8","SAA2"
"26","TPRXL","XIST","MSX1"
"27","NR4A1",NA,"SAA4"
"28","C2orf88",NA,"BTBD16"
"29","SOX18",NA,"C9orf57"
"30","MIR3945HG",NA,"GRAMD2A"
"31","GRIN2D",NA,"FAM169BP"
"32","CSF3",NA,"GLYATL1"
"33","TRPM6",NA,"MT1F"
"34","TNS4",NA,"ACSL6"
"35","EVA1A",NA,"LINC03040"
"36","PKIB",NA,"CD86"
"37","SLC7A5",NA,"HSF2BP"
"38","CCN4",NA,"TIGD4"
"39","CDKN2B-AS1",NA,"RHPN1-AS1"
"40","LGALS2",NA,"DSG4"
"41","OR11H12",NA,"GABBR2"
"42","SLC6A20",NA,"GRIN2D"
"43","TNFRSF17",NA,"EPHX4"
"44","CCL22",NA,"GBX2"
"45","CSF2",NA,"LINC01555"
"46","MMP10",NA,"C15orf48"
"47","CCN1",NA,"VPS18"
"48","FGF19",NA,"SPATA3-AS1"
"49","JCHAIN",NA,"NKD1"
"50","ETV4",NA,"MT1G"
"51","HRCT1",NA,"TTBK1"
"52","PTGS2",NA,"FREM2"
"53","ENTPD8",NA,"CCL18"
"54","CLEC4D",NA,"MYBPHL"
"55","IL6",NA,"SERPINA4"
"56","TREML4",NA,"PCOLCE2"
"57","SPINK5",NA,"CRIPTO"
"58","TREML3P",NA,"GPR182"
"59","LOC340090",NA,"SLC7A5"
"60","STMN2",NA,"F2"
"61","TTR",NA,"GPR179"
"62","IL1B",NA,"TCP11"
"63","SELE",NA,"TRHDE-AS1"
"64","INHBA",NA,"IL22"
"65","INHBB",NA,"RBMY3AP"
"66","TNFAIP6",NA,"PPP6R1"
"67","GUCA2A",NA,"CBY2"
"68","MMP3",NA,"LCAL1"
"69","CA2",NA,"PAH"
"70","HPGD",NA,"SAA1"
"71","GUCA2B",NA,"PRSS33"
"72","CXCL3",NA,"LRRC2"
"73","IGLC1",NA,"HCN1"
"74","TMEM270",NA,"DLX4"
"75","CA1",NA,"RPRM"
"76","IGLL5",NA,"SLC22A3"
"77","PDPN",NA,"FIRRE"
"78","SHISA2",NA,"FLJ39095"
"79","ADH1C",NA,"OR52E8"
"80","UCN2",NA,"LINC02418"
"81","AQP8",NA,"PLEKHS1"
"82","PCAT18",NA,"FGF19"
"83","SLC26A2",NA,"ESM1"
"84","CXCR2",NA,"SLC1A7"
"85","CDH3",NA,"C3P1"
"86","SEMA3D",NA,"GATA2-AS1"
"87","EPHX4",NA,"C2CD4A"
"88","SIX1",NA,"SERPINB3"
"89","ADH1A",NA,"DUOX2"
"90","CHI3L1",NA,"RNF182"
"91","IGKC",NA,"REP15"
"92","SLC11A1",NA,"CXCL12"
"93","SLITRK6",NA,"CKM"
"94","KCTD4",NA,"DPEP1"
"95","AMPD1",NA,"HOXB8"
"96","CXCL2",NA,"LIN28B"
"97","CXCL1",NA,"KRT79"
"98","HCAR3",NA,"MYADML2"
"99","GATA2-AS1",NA,"CBLIF"
"100","SHC3",NA,"CEMIP"
"101","PLA2G10",NA,"DLX3"
"102","RFX6",NA,"GUCA2B"
"103","ESM1",NA,"HOGA1"
"104","FIRRE",NA,"ANXA9"
"105","LYPD8",NA,"OTX1"
"106","AGR3",NA,"TRIM71"
"107","EPOP",NA,"KCNIP1"
"108","SPINK2",NA,"LDLRAD3"
"109","SCGN",NA,"CDH3"
"110","PLAC8",NA,"CCN5"
"111","TMIGD1",NA,"CXCL17"
"112","ZG16",NA,"LINC00525"
"113","IL11",NA,"CCR8"
"114","SCGB2A1",NA,"C1orf105"
"115","HOXD13",NA,"AKR1C4"
"116","HEPACAM2",NA,"ATXN3L"
"117","FPR1",NA,"PLAC1"
"118","FPR2",NA,"SHISA2"
"119","CHP2",NA,"PRDM13"
"120","CXCL17",NA,"ALDOB"
"121","CPZ",NA,"KRTAP4-1"
"122","DAO",NA,"SERPINB4"
"123","TREM1",NA,"CCL19"
"124","SLC4A4",NA,"PITX2"
"125","SLC30A10",NA,"TMEFF2"
"126","NKD2",NA,"GRIN2B"
"127","OTX1",NA,"TCN1"
"128","FYB2",NA,"MGC32805"
"129","BEST2",NA,"AQP6"
"130","SLC26A3",NA,"SLC13A3"
"131","MMP7",NA,"BEX1"
"132","OLR1",NA,"TM4SF20"
"133","LCAL1",NA,"HOXD13"
"134","MMP1",NA,"DUOXA2"
"135","VENTX",NA,"DMBT1"
"136","DNAJB7",NA,"STC2"
"137","NLGN1",NA,"SCN7A"
"138","ADH1B",NA,"DLX6"
"139","GCG",NA,"AQP8"
"140","GPC1-AS1",NA,"KIF5C"
