"","Canonical","NonCanonical","Atypical"
"1","SCARNA5","RGS3","FAM215A"
"2","RGS3","ARHGAP32","SLC2A13"
"3","MIR4453HG","KIAA1671","OR52E8"
"4","RMRP","KATNIP","CWH43"
"5","SPATA2","RMRP","ZFY"
"6","RPPH1","KBTBD13","XIST"
"7","SNORA28","ZNF746",NA
"8","ZNF746","USP19",NA
"9","LOC284600","SHPRH",NA
"10","SNORA81","SCARNA5",NA
"11","RNVU1-18","TYMP",NA
"12","SNORA73A","RPPH1",NA
"13","CYP2W1","LCE1D",NA
"14","SNORD3B-1","PPP1R26",NA
"15","TBXAS1","SNORA81",NA
"16","TYMP","SHISA4",NA
"17","SLC6A6","RPL13AP3",NA
"18","CDK3","ATP5F1E",NA
"19","RN7SK","CCNK",NA
"20","CYGB","LOC284600",NA
"21","H2AC21","IMMT",NA
"22","SUZ12P1","TOMM70",NA
"23","LDHAL6A","RPL13A",NA
"24","GOLGB1","ADAT1",NA
"25","SCARNA10","RN7SK",NA
"26","MYCNOS","RNU12",NA
"27","LCE1D","PDP2",NA
"28","ROPN1L","SPATA2",NA
"29","TLCD3B","CARMIL1",NA
"30","RPL13AP3","IWS1",NA
"31","RNU2-2P","SNORA73A",NA
"32","DPEP3","SLC66A1",NA
"33","FUT6","PATJ",NA
"34","SLC66A1","FHL1",NA
"35","PHB1P19","MIR4453HG",NA
"36","ADAMTS7","DYTN",NA
"37","SNORD17","DPEP3",NA
"38","SNORD15A","SNORA28",NA
"39","PPP1R14A","MYCNOS",NA
"40","UCP3","CDK3",NA
"41","SCARNA6","CYGB",NA
"42","H2AC20","IGFL2-AS1",NA
"43","FAM74A4","RPL23",NA
"44","FHL1","DLGAP1-AS1",NA
"45","CARMIL1","ADAMTS7",NA
"46","PYY2","ARPC5",NA
"47","RPS12","RPS18",NA
"48","SNORA73B","UCP3",NA
"49","SIGLEC15","SCARNA10",NA
"50","ATP5F1E","DHX38",NA
"51","RPS18","NOMO1",NA
"52","SHISA4","LDHAL6A",NA
"53","RNU12","RPLP1",NA
"54","IAPP","FAM74A4",NA
"55","ALDH1L2","EXOC3L1",NA
"56","RALGPS1","MAN2B2",NA
"57","SSTR3","RRN3",NA
"58","ARPIN","RPS12",NA
"59","RPL13A","RPL23P8",NA
"60","RPLP1","PINLYP",NA
"61","RPS2","RPS10P7",NA
"62","ASB18","HTATSF1P2",NA
"63","SNORA2A","RNVU1-18",NA
"64","RN7SL1","DNMBP",NA
"65","RPL36A","RPS27",NA
"66","H4C3","SNORD3B-1",NA
"67","IGFL2-AS1","RPS20",NA
"68","HAPLN2","SNORA73B",NA
"69","H4C8","EP400",NA
"70","TPSG1","MCM9",NA
"71","SH2D5","CYP2W1",NA
"72","LIPN","SNORD17",NA
"73","RPS10P7","PPP1R14A",NA
"74","RPL31","SUZ12P1",NA
"75","RNA28SN5","RPS2",NA
"76","VAMP2","RPL38",NA
"77","RPL19","RPL35A",NA
"78","RPL23P8","RPL36A",NA
"79","HSP90AA1","SLC6A6",NA
"80","RPS27","RPL39",NA
"81","POT1","SON",NA
"82","HMHB1","ZFP91",NA
"83","GFPT1","RPL31",NA
"84","RPL23","PFDN5",NA
"85","YPEL4","DAG1",NA
"86","RPS8","LINC00941",NA
"87","RPL38","RPS28",NA
"88","EVX1","RPLP2",NA
"89","RPL37A","H2AC21",NA
"90","RPS20","RPL37",NA
"91","TOMM7","SNORD15A",NA
"92","H2AC6","RPL37A",NA
"93","PRM2","ACTB",NA
"94","ARFGEF3","GOLGB1",NA
"95","H4C2","RPS8",NA
"96","H4C5","RPL19",NA
"97","WNT10B","GFPT1",NA
"98","TMEM95","TPSG1",NA
"99","NADK2","C19orf44",NA
"100","RPL37","EPHX3",NA
"101","RNF222","RPS25",NA
"102","RPS28","EP300",NA
"103","CHAT","SCARNA6",NA
"104","RPL12","OAZ1",NA
"105","SNORA23","PHB1P19",NA
"106","RPL35A","FUT6",NA
"107","RPS25","SEC16A",NA
"108","H1-3","HSP90AA5P",NA
"109","CFAP97D1","RPL12",NA
"110","ST6GALNAC5","H2BC15",NA
"111","CRLF2","TBXAS1",NA
"112","MOCS3","BBS1",NA
"113","RPL41","TOMM7",NA
"114","RPLP2","ZNF525",NA
"115","MEFV","ARFGEF3",NA
"116","RPL39","RPS5",NA
"117","RPS17","SP2",NA
"118","H4C13","C1orf54",NA
"119","RPS21","PYY2",NA
"120","PSD","KCNH3",NA
"121","CD86","RPL24",NA
"122","H4C4","MOCS3",NA
"123","LRRC2","RPL27",NA
"124","H4C15","UTP14C",NA
"125","SRRM2-AS1","RPS17",NA
"126","S100A5","SLC35C2",NA
"127","MAGEA6","RPL34",NA
"128","VPS18","RPS11",NA
"129","RPS24","DDX24",NA
"130","RPL23A","SIGLEC15",NA
"131","SNORA74A","RPL36AL",NA
"132","RPS29","RPS24",NA
"133","LINC02817","ASB18",NA
"134","NXN","MAU2",NA
"135","PIK3R5","RNU2-2P",NA
"136","H4C9","CACNA1C",NA
"137","ZNF525","BRPF3",NA
"138","RPL32","PTBP1",NA
"139","PPP6R1","GBP6",NA
"140","SIX3","TSEN54",NA
"141","GPR179","RPL41",NA
"142","MIF","TMSB10",NA
"143","RPL11","LCOR",NA
"144","GNRHR2","ARPIN",NA
"145","CCDC177","RPS21",NA
"146","GPR182","ATP1A3",NA
"147","RPL34","UBE3B",NA
"148","ATP13A3-DT","RPL23A",NA
"149","OTOS","PPP1R16B",NA
"150","FAM216B","ARAFP2",NA
"151","H3C2","POLR2J2",NA
"152","GPR176","RPL32",NA
"153","LGALS1","BTAF1",NA
"154","ARL17B","TNPO1",NA
"155","PTCHD4","ROPN1L",NA
"156","H3C15","U2SURP",NA
"157","IYD","H2AC20",NA
"158","TINAGL1","TMEM131",NA
"159","LINC01667","MZT2B",NA
"160","KRT79","ZNF713",NA
"161","PCDHGC4","WDR36",NA
"162","LNPK","TOMM20L",NA
"163","CSPG4P5","EVX1",NA
"164","LINC00865","RPS27A",NA
"165","RPS26","CEP44",NA
"166","TRPC2","TMEM88B",NA
"167","PPP1R37","HMHB1",NA
"168","STX2","ACAP3",NA
"169","LOC283731","FAU",NA
"170","H1-5","H4C3",NA
"171","SUPT20HL1","HACD2",NA
"172","CNN2","ARL6IP4",NA
"173","RPS13","MRPS16",NA
"174","LOC401357","RPL28",NA
"175","TAAR2","RPS7",NA
"176","CCDC34","CPD",NA
"177","CYP17A1","RPL14",NA
"178","MIR600HG","RALGPS1",NA
"179","H4C11","CCL24",NA
"180","RPS15AP10","RPL11",NA
"181","AANAT","TLCD3B",NA
"182","ZNF483","MCRIP1",NA
"183","OSR2","NFATC3",NA
"184","H4C12","IAPP",NA
"185","SLC2A13","RPS29",NA
"186","ATXN3L","BRK1",NA
"187","HCCAT5","ADCY6",NA
"188","ANGPT4","RPL23AP53",NA
"189","GRASLND","ANAPC11",NA
"190","CDKN2A-AS1","RPL35",NA
"191","ZNF554","GOLGA2",NA
"192","ARSK","LNPK",NA
"193","DCAF12L2","AP2S1",NA
"194","OR1K1","RNA28SN5",NA
"195","TSC22D1-AS1","RPS6",NA
"196","SNAR-A3","BRPF1",NA
"197","PLXNA2","RPL23AP87",NA
"198","RPA4","RPL10",NA
"199","RAVER1","VAMP2",NA
"200","SLC28A1","PSD",NA
"201","SNORA46","POLR2L",NA
"202","RNA5-8SN5","TMEM87B",NA
"203","ZNF252P-AS1","SSTR3",NA
"204","VEGFA","ZNF282",NA
"205","H2BC7","RN7SL1",NA
"206","GGNBP1","RPS4X",NA
"207","CDR1","SETD1B",NA
"208","H2AC13","RPL7",NA
"209","S100A4","SMC5",NA
"210","DMRT1","CLOCK",NA
"211","LINC01949","SPRED2",NA
