"","Canonical","NonCanonical","Atypical"
"1","KCNIP2","KCNIP2",NA
"2","MLIP","MLIP",NA
"3","SLC5A10","VSTM5",NA
"4","BMP8A","CMAHP",NA
"5","OR8B4","MYOZ1",NA
"6","PCDHA1","VGLL2",NA
"7","NLRP4","OR8B4",NA
"8","CMAHP","TTBK1",NA
"9","TEKTL1","BMP8A",NA
"10","FLJ33534","TEKTL1",NA
"11","MYOZ1","LOC339059",NA
"12","VGLL2","PCDHA1",NA
"13","XAGE2","ARMS2",NA
"14","WNT10B","CYP4A22",NA
"15","TLCD3B","AMELX",NA
"16","PAK3","PRR29",NA
"17","GRIN2B","LHX3",NA
"18","TSPOAP1","WNT10B",NA
"19","ZFP57","SPANXN4",NA
"20","CRX","NLRP4",NA
"21","FAM186A","XAGE2",NA
"22","LCE1F","LINC00313",NA
"23","PRR29","GRIN2B",NA
"24","NXNL2","PAK3",NA
"25","PFN4","ALX4",NA
"26","HRNR","PKNOX2",NA
"27","FGF6","LCE1D",NA
"28","LOC339059","CLEC17A",NA
"29","OR8H2","OR10K1",NA
"30","SPANXN4","TTLL6",NA
"31","ANKRD2","NXNL2",NA
"32","LHX3","FAM186A",NA
"33","SPEG","GNRH2",NA
"34","COL14A1","AVPR1A",NA
"35","C7","MEGF11",NA
"36","MATN1","TYR",NA
"37","FBP2","DCSTAMP",NA
"38","OR51G2","OR52B6",NA
"39","RGS6","MYO3A",NA
"40","GPSM1","SPEG",NA
"41","OSBP2","CAMKV",NA
"42","ZNF575","TMEM130",NA
"43","DCSTAMP","NHLH1",NA
"44","SPMAP1","HTR3D",NA
"45","C12orf42","TPSD1",NA
"46","FYB2","CIMAP1D",NA
"47","VSTM5","FBP2",NA
"48","TPSD1","GAS2L2",NA
"49","VSX1","NXPH4",NA
"50","PTPRS","ATP1A2",NA
"51","WNT9B","MYO16",NA
"52","PRODH2","PGM5",NA
"53","INCA1","TCHHL1",NA
"54","GYPA","SPAM1",NA
"55","ZSCAN23","TGM5",NA
"56","CLEC17A","GRXCR2",NA
"57","CYP4A22","FYB2",NA
"58","CSH1","SEC1P",NA
"59","DBNDD1","OR2M7",NA
"60","LINC00313","SLC25A34",NA
"61","PKNOX2","CASR",NA
"62","ALX4","FEV",NA
"63","CCDC177","KCNE2",NA
"64","TCHHL1","SHISA2",NA
"65","ADGRE2","ZNF99",NA
"66","OR52B6","GPR179",NA
"67","GNRH2","PSORS1C1",NA
"68","HELT","IGLC1",NA
"69","VCX2","TEKT1",NA
"70","PYDC2","B3GAT1",NA
"71","NUTM1","CHRDL2",NA
"72","PATE1","PCDHA4",NA
"73","TTBK1","GPR151",NA
"74","ACSM5","REG1CP",NA
"75","CYP4F22","SULT6B1",NA
"76","SPRR4","ATG9B",NA
"77","SEC1P","A4GNT",NA
"78","IQCN","ARHGAP44",NA
"79","GP9","DLX4",NA
"80","TEKT1","SMYD1",NA
"81","OR4A15","CRIP3",NA
"82","TMEM130","KRIT1",NA
"83","ERICH3","CYP4F22",NA
"84","TRIM48","LCE2B",NA
"85","AQP7","GALP",NA
"86","OR51B2","OPRPN",NA
"87","GAS2L2","PCSK2",NA
"88","SEC14L3","STPG2",NA
"89","ARMS2","DNAAF1",NA
"90","IQSEC2","LOXHD1",NA
"91","PSG9","CACNA1A",NA
"92","LCE1D","POU6F2",NA
"93","CRMA","CA6",NA
"94","PEX5L","LINC00268",NA
"95","ELN","LRRC10B",NA
"96","NTNG1","TRIM48",NA
"97","HES7","GDF3",NA
"98","SPATA31H1","NRAP",NA
"99","SLC26A8","RSPH6A",NA
"100","LRTM1","CYP4F12",NA
"101","FCER2","KLHL10",NA
"102","HEPN1","SLC22A12",NA
"103","CCDC13","KISS1R",NA
"104","TRIM46","GBX2",NA
"105","MYO16","TDRG1",NA
"106","ZNF99","OR51I1",NA
"107","SLC38A3","SH3GL2",NA
"108","FCRL6","ASGR1",NA
"109","PALM","IRX5",NA
"110","SHCBP1L","NPPA",NA
"111","GPR179","IL2RG",NA
"112","SPAM1","DHRS7C",NA
"113","WNT8B","PRKN",NA
"114","ASCL3","LEFTY2",NA
"115","TYR","STEAP1",NA
"116","AMELX","SPINK13",NA
"117","GRXCR2","OR1A1",NA
"118","LOXHD1","PRRX2",NA
"119","GPR149","OR52A5",NA
"120","OR10V1","CDHR5",NA
"121","CDRT15","CDH16",NA
"122","TOMM20","HABP2",NA
"123","MIOX","C16orf89",NA
"124","CCDC27","CD22",NA
"125","LINC00268","NKD1",NA
"126","OR5AK2","HOXD10",NA
"127","FUT5","SLITRK3",NA
"128","B3GAT1","COCH",NA
"129","CRHR1","GPR12",NA
"130","CAMKV","CKM",NA
"131","LY6G6C","HRH3",NA
"132","SLA2","PAPPA2",NA
"133","GPR26","MYT1",NA
"134","REG1CP","CA7",NA
"135","OR10K1","ANLN",NA
"136","OR8K1","HEPHL1",NA
"137","PGM5","SFTPB",NA
"138","BTBD17","ACAP1",NA
"139","SPANXN2","PRDM9",NA
"140","NKAIN2","PCNX2",NA
"141","TTLL6","DDIT4",NA
"142","APC2","MATCAP2",NA
"143","SEZ6L","CLRN1",NA
"144","YWHAEP7","TMEM253",NA
"145","LINC00598","BRINP1",NA
"146","MAJIN","NELL2",NA
"147","SULT6B1","GREM1",NA
"148","NOTCH1","MLXIPL",NA
"149","OR2A25","PLP1",NA
"150","ADGRG4","NAT8",NA
"151","RTL9","TP53INP2",NA
"152","OR10A7","ANXA13",NA
"153","CACNG8","PADI2",NA
"154","FRMPD1","VSTM2L",NA
"155","GLP1R","PDZK1",NA
"156","NINL","CNTFR",NA
"157","IL21","BMAL2",NA
"158","NTSR2","TNS4",NA
"159","OR1Q1","HOXB9",NA
"160","IGFBPL1","CFAP144",NA
"161","GPR151","CYP4F11",NA
"162","RNF112","MALL",NA
"163","MEGF11","SALL4",NA
"164","OR6X1","COL2A1",NA
"165","CMPK1","DMRTA2",NA
"166","KIF9","SELENBP1",NA
"167","CUBN","CHP2",NA
"168","TGM5","MYADML2",NA
"169","OR4K1","B3GNT6",NA
"170","FEV","EGFL6",NA
"171","HTR3D","SEMA6D",NA
"172","MC1R","ESM1",NA
"173","ODAPH","IL1B",NA
"174","PLIN4","SCNN1G",NA
"175","CIMAP1D","NHERF4",NA
"176","ADAMTS16","SERPIND1",NA
"177","CSMD2","EPHB1",NA
"178","GALP","ETV4",NA
"179","ATXN7L2","MMP7",NA
"180","NHLH1","PTP4A3",NA
"181","KCNJ4","ALDH1L1",NA
"182","PCDHA4","CNTN3",NA
"183","IFNA21","OCA2",NA
"184","KRT38","BTNL8",NA
"185","MTNR1B","SPP1",NA
"186","NANOG","SLC51B",NA
"187","CRYGC","SLC15A1",NA
"188","KRT79","GPR15LG",NA
"189","HPSE2","TRPM6",NA
"190","DCAF12L1","ASCL2",NA
"191","GAB4","CXCL3",NA
"192","C5orf52","SSTR1",NA
"193","CACNA1C","POSTN",NA
"194","PIANP","HOXA9",NA
"195","AWAT1","OLFM4",NA
"196","HIC1","C11orf86",NA
"197","CYP2B6","UGT2B15",NA
"198","ADAMTS15","SEMA6A",NA
"199","GRID1","EDN3",NA
"200","OR2M7","HOXA13",NA
"201","SPEM1","HOXB8",NA
"202","SAMD15","SLC26A3",NA
"203","CACNG7","AGR3",NA
"204","OR2AG1","MSX1",NA
"205","CDH8","TESC",NA
"206","NFIC","CXCL6",NA
"207","PRSS55","NEUROD1",NA
"208","PCDHAC1",NA,NA
"209","SCAMP5",NA,NA
"210","OR8J1",NA,NA
"211","DNAJB13",NA,NA
"212","NXPH4",NA,NA
"213","CASR",NA,NA
"214","INHBC",NA,NA
