"","x"
"1","NonCanonical"
"2","Atypical"
"3","Atypical"
"4","Atypical"
"5","Atypical"
"6","Canonical"
"7","Atypical"
"8","Canonical"
"9","Atypical"
"10","Atypical"
"11","Atypical"
"12","Atypical"
"13","Atypical"
"14","Atypical"
"15","Atypical"
"16","Atypical"
"17","Atypical"
"18","Atypical"
"19","Atypical"
"20","Atypical"
"21","Atypical"
"22","Atypical"
"23","Atypical"
"24","Atypical"
"25","Atypical"
"26","Atypical"
"27","Atypical"
"28","Atypical"
"29","Atypical"
"30","Atypical"
"31","Atypical"
"32","Atypical"
"33","Atypical"
"34","Atypical"
"35","Atypical"
"36","Atypical"
"37","Atypical"
"38","Canonical"
"39","Atypical"
"40","Atypical"
"41","Atypical"
"42","Atypical"
"43","Atypical"
"44","Atypical"
"45","Atypical"
"46","Canonical"
"47","Canonical"
"48","Canonical"
"49","Atypical"
"50","Canonical"
"51","Atypical"
"52","Atypical"
"53","Atypical"
"54","Atypical"
"55","Atypical"
"56","Atypical"
"57","Atypical"
"58","Atypical"
"59","Canonical"
"60","Atypical"
"61","Atypical"
"62","Atypical"
"63","Atypical"
"64","Atypical"
"65","Atypical"
"66","Canonical"
"67","Canonical"
"68","Atypical"
"69","Atypical"
"70","Atypical"
"71","Atypical"
"72","Atypical"
"73","Canonical"
"74","Canonical"
"75","Atypical"
"76","Atypical"
"77","Atypical"
"78","Atypical"
"79","Atypical"
"80","Atypical"
"81","Canonical"
"82","Atypical"
"83","Atypical"
"84","Atypical"
"85","Atypical"
"86","Atypical"
"87","Canonical"
"88","Atypical"
"89","Atypical"
"90","Atypical"
"91","Atypical"
"92","Atypical"
"93","Atypical"
"94","Atypical"
"95","Atypical"
"96","Atypical"
"97","Canonical"
"98","Canonical"
"99","Canonical"
"100","Atypical"
"101","Atypical"
"102","Atypical"
"103","Atypical"
"104","Canonical"
"105","Canonical"
"106","Atypical"
"107","Atypical"
"108","Canonical"
"109","Canonical"
"110","Atypical"
"111","Atypical"
"112","Atypical"
"113","Atypical"
"114","Atypical"
"115","Canonical"
"116","Canonical"
"117","Atypical"
"118","Atypical"
"119","Canonical"
"120","Canonical"
"121","Canonical"
"122","Canonical"
"123","Canonical"
"124","Atypical"
"125","Atypical"
"126","Canonical"
"127","Atypical"
"128","Canonical"
"129","Canonical"
"130","Atypical"
"131","Atypical"
"132","Atypical"
"133","Canonical"
"134","Atypical"
"135","Canonical"
"136","Atypical"
"137","Atypical"
"138","Atypical"
"139","Atypical"
"140","Atypical"
"141","Atypical"
"142","Atypical"
"143","Canonical"
"144","Canonical"
"145","Atypical"
"146","Atypical"
"147","Canonical"
"148","Canonical"
"149","Atypical"
"150","Atypical"
"151","Atypical"
"152","Atypical"
"153","NonCanonical"
"154","Atypical"
"155","Atypical"
"156","Atypical"
"157","Canonical"
"158","Canonical"
"159","Atypical"
"160","Atypical"
"161","Atypical"
"162","Atypical"
"163","Atypical"
"164","Atypical"
"165","Canonical"
"166","Atypical"
"167","Atypical"
"168","Atypical"
"169","Atypical"
"170","Atypical"
"171","Atypical"
"172","Canonical"
"173","Atypical"
"174","Canonical"
"175","Atypical"
"176","Atypical"
"177","Atypical"
"178","Atypical"
"179","Canonical"
"180","Atypical"
"181","Canonical"
"182","Atypical"
"183","Canonical"
"184","Atypical"
"185","Atypical"
"186","Atypical"
"187","Canonical"
"188","NonCanonical"
"189","Atypical"
"190","Atypical"
"191","Atypical"
"192","Atypical"
"193","Canonical"
"194","Atypical"
"195","Atypical"
"196","Atypical"
"197","Atypical"
"198","Atypical"
"199","NonCanonical"
"200","Atypical"
"201","Atypical"
"202","Atypical"
"203","Atypical"
"204","Canonical"
