"","x"
"GSM2325238","NonCanonical"
"GSM2325239","Atypical"
"GSM2325240","Atypical"
"GSM2325241","Atypical"
"GSM2325242","Atypical"
"GSM2325243","Canonical"
"GSM2325244","Atypical"
"GSM2325245","Canonical"
"GSM2325246","Atypical"
"GSM2325247","Atypical"
"GSM2325248","Canonical"
"GSM2325249","Atypical"
"GSM2325250","Atypical"
"GSM2325251","Atypical"
"GSM2325252","Atypical"
"GSM2325253","Atypical"
"GSM2325254","Atypical"
"GSM2325255","Atypical"
"GSM2325256","Atypical"
"GSM2325257","Atypical"
"GSM2325258","Atypical"
"GSM2325259","Atypical"
"GSM2325260","Atypical"
"GSM2325261","Atypical"
"GSM2325262","Atypical"
"GSM2325263","Atypical"
"GSM2325264","Atypical"
"GSM2325265","Atypical"
"GSM2325266","Atypical"
"GSM2325267","Atypical"
"GSM2325268","NonCanonical"
"GSM2325269","Atypical"
"GSM2325270","Atypical"
"GSM2325271","Atypical"
"GSM2325272","Atypical"
"GSM2325273","Atypical"
"GSM2325274","Atypical"
"GSM2325275","Atypical"
"GSM2325276","Atypical"
"GSM2325277","Atypical"
"GSM2325278","Atypical"
"GSM2325279","Atypical"
"GSM2325280","Atypical"
"GSM2325281","Atypical"
"GSM2325282","Atypical"
"GSM2325283","Atypical"
"GSM2325284","Atypical"
"GSM2325285","Canonical"
"GSM2325286","Canonical"
"GSM2325287","Atypical"
"GSM2325288","Atypical"
"GSM2325289","Atypical"
"GSM2325290","Atypical"
"GSM2325291","Atypical"
"GSM2325292","Canonical"
"GSM2325293","Atypical"
"GSM2325294","Atypical"
"GSM2325295","Atypical"
"GSM2325296","Atypical"
"GSM2325297","Atypical"
"GSM2325298","Atypical"
"GSM2325299","Atypical"
"GSM2325300","Atypical"
"GSM2325301","Atypical"
"GSM2325302","Atypical"
"GSM2325303","Atypical"
"GSM2325304","Atypical"
"GSM2325305","Atypical"
"GSM2325306","Atypical"
"GSM2325307","Atypical"
"GSM2325308","Atypical"
"GSM2325309","Atypical"
"GSM2325310","Atypical"
"GSM2325311","Atypical"
"GSM2325312","Atypical"
"GSM2325313","Atypical"
"GSM2325314","Atypical"
"GSM2325315","Atypical"
"GSM2325316","Atypical"
"GSM2325317","Atypical"
"GSM2325318","Atypical"
"GSM2325319","Atypical"
"GSM2325320","Atypical"
"GSM2325321","Atypical"
"GSM2325322","Atypical"
"GSM2325323","Canonical"
"GSM2325324","Atypical"
"GSM2325325","Atypical"
"GSM2325326","Atypical"
"GSM2325327","Atypical"
"GSM2325328","Atypical"
"GSM2325329","Canonical"
"GSM2325330","Atypical"
"GSM2325331","Atypical"
"GSM2325332","Atypical"
"GSM2325333","Atypical"
"GSM2325334","Atypical"
"GSM2325335","Atypical"
"GSM2325336","Atypical"
"GSM2325337","Atypical"
"GSM2325338","Atypical"
"GSM2325339","Atypical"
"GSM2325340","Canonical"
"GSM2325341","Atypical"
"GSM2325342","Atypical"
"GSM2325343","NonCanonical"
"GSM2325344","Atypical"
"GSM2325345","Atypical"
"GSM2325346","Canonical"
"GSM2325347","Atypical"
"GSM2325348","Atypical"
"GSM2325349","Atypical"
"GSM2325350","Canonical"
"GSM2325351","Canonical"
"GSM2325352","Atypical"
"GSM2325353","Atypical"
"GSM2325354","Atypical"
"GSM2325355","Atypical"
"GSM2325356","Atypical"
"GSM2325357","Atypical"
"GSM2325358","Atypical"
"GSM2325359","Atypical"
"GSM2325360","Atypical"
"GSM2325361","Atypical"
"GSM2325362","Canonical"
"GSM2325363","Canonical"
"GSM2325364","Atypical"
"GSM2325365","Canonical"
"GSM2325366","Atypical"
"GSM2325367","Atypical"
"GSM2325368","Atypical"
"GSM2325369","Atypical"
"GSM2325370","Canonical"
"GSM2325371","Canonical"
"GSM2325372","Atypical"
"GSM2325373","Atypical"
"GSM2325374","Atypical"
"GSM2325375","Canonical"
"GSM2325376","Atypical"
"GSM2325377","Canonical"
"GSM2325378","Atypical"
"GSM2325379","Atypical"
"GSM2325380","Atypical"
"GSM2325381","Atypical"
"GSM2325382","Atypical"
"GSM2325383","Atypical"
"GSM2325384","Atypical"
"GSM2325385","Canonical"
"GSM2325386","Canonical"
"GSM2325387","Atypical"
"GSM2325388","Atypical"
"GSM2325389","Canonical"
"GSM2325390","Atypical"
"GSM2325391","Atypical"
"GSM2325392","Atypical"
"GSM2325393","Atypical"
"GSM2325394","Atypical"
"GSM2325395","NonCanonical"
"GSM2325396","Atypical"
"GSM2325397","Atypical"
"GSM2325398","Atypical"
"GSM2325399","Canonical"
"GSM2325400","Canonical"
"GSM2325401","Atypical"
"GSM2325402","Atypical"
"GSM2325403","Atypical"
"GSM2325404","Atypical"
"GSM2325405","Atypical"
"GSM2325406","Atypical"
"GSM2325407","Atypical"
"GSM2325408","Atypical"
"GSM2325409","Canonical"
"GSM2325410","Atypical"
"GSM2325411","Atypical"
"GSM2325412","NonCanonical"
"GSM2325413","Atypical"
"GSM2325414","Atypical"
"GSM2325415","Atypical"
"GSM2325416","Canonical"
"GSM2325417","Atypical"
"GSM2325418","Atypical"
"GSM2325419","Atypical"
"GSM2325420","Atypical"
"GSM2325421","Atypical"
"GSM2325422","Atypical"
"GSM2325423","Canonical"
"GSM2325424","Atypical"
"GSM2325425","Atypical"
"GSM2325426","Atypical"
"GSM2325427","Atypical"
"GSM2325428","Atypical"
"GSM2325429","Atypical"
"GSM2325430","Atypical"
"GSM2325431","Canonical"
"GSM2325432","NonCanonical"
"GSM2325433","Atypical"
"GSM2325434","Atypical"
"GSM2325435","Atypical"
"GSM2325436","Atypical"
"GSM2325437","Canonical"
"GSM2325438","Atypical"
"GSM2325439","Atypical"
"GSM2325440","Atypical"
"GSM2325441","Atypical"
"GSM2325442","Atypical"
"GSM2325443","NonCanonical"
"GSM2325444","Atypical"
"GSM2325445","Atypical"
"GSM2325446","Atypical"
"GSM2325447","Atypical"
"GSM2325448","Atypical"
"GSM2325449","Atypical"
"GSM2325450","Atypical"
"GSM2325451","Atypical"
"GSM2325452","Atypical"
"GSM2325453","Atypical"
"GSM2325454","Atypical"
"GSM2325455","Atypical"
"GSM2325456","Atypical"
"GSM2325457","Atypical"
"GSM2325458","Atypical"
"GSM2325459","Canonical"
"GSM2325460","Atypical"
"GSM2325461","Atypical"
"GSM2325462","Atypical"
"GSM2325463","Atypical"
"GSM2325464","Atypical"
"GSM2325465","Atypical"
"GSM2325466","Atypical"
"GSM2325467","Atypical"
"GSM2325468","Atypical"
"GSM2325469","Atypical"
"GSM2325470","Atypical"
"GSM2325471","Atypical"
"GSM2325472","NonCanonical"
"GSM2325473","Atypical"
"GSM2325474","Atypical"
"GSM2325475","Atypical"
"GSM2325476","Atypical"
"GSM2325477","Atypical"
"GSM2325478","Atypical"
"GSM2325479","Canonical"
"GSM2325480","Atypical"
"GSM2325481","Atypical"
