"","Canonical","NonCanonical","Atypical"
"1","NYX","CCKAR",NA
"2","IGHG1","IGHG1",NA
"3","CCKAR","NYX",NA
"4","ELAVL3","ELAVL3",NA
"5","SLC1A6","SLC1A6",NA
"6","SPTBN4","CD37",NA
"7","SYT5","DLG2",NA
"8","DBH","SLC22A6",NA
"9","SLC22A6","SPTBN4",NA
"10","CD37","SYT5",NA
"11","KRT83","KRT83",NA
"12","DLG2","LINC00906",NA
"13","CDH23","M1AP",NA
"14","M1AP","PSD",NA
"15","PSD","CDH23",NA
"16","EVA1B","LHX9",NA
"17","NUTM1","EVA1B",NA
"18","KIF6","DBH",NA
"19","PDZD4","OPRM1",NA
"20","LOC391322","BAALC",NA
"21","OPRM1","KIF6",NA
"22","LINC00906","NUTM1",NA
"23","LHX9","SAMD14",NA
"24","EVPLL","PDZD4",NA
"25","C4orf51","LOC654780",NA
"26","TLX3","C4orf51",NA
"27","MARCHF10","OR7A10",NA
"28","CSMD1","EVPLL",NA
"29","LOC654780","SLC25A48",NA
"30","HES7","HES7",NA
"31","FCN2","GARIN5B",NA
"32","WNT3A","FFAR3",NA
"33","HPCAL4","SOX3",NA
"34","LZTS1","FAM163A",NA
"35","GARIN5B","SARDH",NA
"36","LRTM2","WNT5B",NA
"37","CNGA3","TLX3",NA
"38","PLEKHG4B","LOC391322",NA
"39","BLK","LOXHD1",NA
"40","BAALC","HPCAL4",NA
"41","LOXHD1","FCN2",NA
"42","LINGO1","COX7A1",NA
"43","SSPOP","RGS8",NA
"44","PROK1","BLK",NA
"45","SSX2","MYT1L",NA
"46","CYLC1","GRIN2A",NA
"47","TMEM213","GMNC",NA
"48","SOX3","NALCN",NA
"49","CACNG2","SIX3",NA
"50","OR7A10","DPYSL4",NA
"51","FFAR3","HS6ST3",NA
"52","GAS2L2","CACNG2",NA
"53","DPYSL4","SSX2",NA
"54","MYT1L","COL2A1",NA
"55","SLC25A48","LINGO1",NA
"56","LRFN2","NDUFA4L2",NA
"57","LHX3","EPO",NA
"58","NALCN","PLEKHG4B",NA
"59","EPO","TMEM213",NA
"60","PDIA2","SPATA3",NA
"61","FAM163A","MARCHF10",NA
"62","NDUFA4L2","CNGA3",NA
"63","IQSEC3","LRTM2",NA
"64","MGAT5B","LZTS1",NA
"65","GRIN2A","VWA3B",NA
"66","HRH3","COX6A2",NA
"67","SYCE1","PDIA2",NA
"68","RBFOX3","GAS2L2",NA
"69","DHH","CIBAR2",NA
"70","TULP1","DSCAML1",NA
"71","DSCAML1","TULP1",NA
"72","SIX3","SYCE1",NA
"73","LINC01565","CSMD1",NA
"74","NRG2","NRG2",NA
"75","HMCN2","LRFN2",NA
"76","COL2A1","FOXE1",NA
"77","DUOXA2","IQSEC3",NA
"78","FOXN4","BPIFA4P",NA
"79","GNAT1","PROK1",NA
"80","C10orf53","HRH3",NA
"81","NRXN1","LHX3",NA
"82","CFAP92","SSPOP",NA
"83","HOXB1","DHH",NA
"84","RXRG","CYLC1",NA
"85","PAX1","COL25A1",NA
"86","NTN3","HMCN2",NA
"87","TBX5","TMEFF2",NA
"88","SCN2B","CELF4",NA
"89","WNT5B","ABCB11",NA
"90","SLC28A1","NEUROD6",NA
"91","OR10G7","TMEM132E",NA
"92","SLC22A8","GNAT1",NA
"93","KLK2","GAD2",NA
"94","HS6ST3","LYZL6",NA
"95","SLC6A19","CFAP92",NA
"96","GAD2","CLEC4C",NA
"97","DKKL1","STOML3",NA
"98","CRH","NRXN1",NA
"99","GREB1","OR10G7",NA
"100","BPIFA4P","C5orf64",NA
"101","TNNT1","CCBE1",NA
"102","PLPPR3","TSGA13",NA
"103","SLC34A2","TBX5",NA
"104","MTNR1B","WNT3A",NA
"105","GMNC","TCL6",NA
"106","TMEM132E","SCN2B",NA
"107","PCDHA13","ADCY5",NA
"108","TFAP2B","C10orf53",NA
"109","RGS8","FOXN4",NA
"110","CIBAR2","PAX1",NA
"111","ADAMTS18","TFAP2B",NA
"112","GABRG3","OR9G1",NA
"113","TEX13A","DUOXA2",NA
"114","CADM3","LOC441239",NA
"115","SPATA3","TNNT1",NA
"116","TSGA13","PCDHA13",NA
"117","CCDC85A","LINC01565",NA
"118","CCBE1","SLC6A19",NA
"119","MTUS2","CUX2",NA
"120","OR1F1","KIAA0825",NA
"121","LCE4A","ADAMTS18",NA
"122","GPR6","INMT",NA
"123","CUX2","CASR",NA
"124","RLN3","LCE4A",NA
"125","LOC441239","OTX2",NA
"126","ZPBP","ZPBP",NA
"127","WFIKKN2","RBFOX3",NA
"128","TCL6","WNT10B",NA
"129","KIAA0825","SYNDIG1L",NA
"130","HCN4","ATRNL1",NA
"131","TMEM232","DKKL1",NA
"132","ABCA4","RNF17",NA
"133","PRL","ABCA4",NA
"134","MAP1LC3C","NTRK3",NA
"135","REXO1L1P","TEX13A",NA
"136","NLRP4","PHF24",NA
"137","WDR64","MTNR1B",NA
"138","FRMPD1","ADD2",NA
"139","CLEC4C","PLPPR3",NA
"140","SPANXN5","MGAT5B",NA
"141","CASR","MAP1LC3C",NA
"142","PRDM12","PAEP",NA
"143","FAM135B","TMEM232",NA
"144","MS4A15","CCDC85A",NA
"145","TMEFF2","HRK",NA
"146","ABCB11","RXRG",NA
"147","NEUROD6","PRL",NA
"148","FRMPD4","PCDHA11",NA
"149","LYZL6","ALDH1L1",NA
"150","CD79B","SLC28A1",NA
"151","MMP24","GARIN3",NA
"152","NDST4","CADM2",NA
"153","PRSS55","SPOCK3",NA
"154","SAG","MTUS2",NA
"155","SLC6A11","NTN3",NA
"156","WSCD2","FRMPD1",NA
"157","ATP2B2","ELSPBP1",NA
"158","PHF24","FGF12",NA
"159","DGCR5","CHST9",NA
"160","CACNA1I","CLEC2A",NA
"161","GSX2","SPTA1",NA
"162","NTRK3","C12orf54",NA
"163","BTBD17","PMCHL1",NA
"164","CHD5","GABRG3",NA
"165","CLEC2A","GOLGA2P11",NA
"166","SYNDIG1L","RAD21L1",NA
"167","SRRM4","HTR5A",NA
"168","GOLGA2P11","PCSK2",NA
"169","DPYSL5","OR1F1",NA
"170","EIF4E1B","NLRP4",NA
"171","PAEP","GHRHR",NA
"172","OTX2","CRH",NA
"173","IQCF5","FAM135B",NA
"174","PRDM9","DLGAP2",NA
"175","HRK","TACR3",NA
"176","SYT6","GPR26",NA
"177","FGF12","RLN3",NA
"178","C2orf50","FRMPD4",NA
"179","SPDEF","WFIKKN2",NA
"180","GARIN3","WDR64",NA
"181","TAS2R8","MORN3",NA
"182","ASTN1","NANOGNB",NA
"183","TEX35","SNTG2",NA
"184","DRC7","SLC6A11",NA
"185","HPN","PRDM12",NA
"186","ALDH1L1","HAPLN2",NA
"187","C10orf90","PKD1L2",NA
"188","INSRR","CACNA1I",NA
"189","TEKT1","MOBP",NA
"190","CCKBR","OR2A12",NA
"191","RNF17","OR2M4",NA
"192","PCSK2","REXO1L1P",NA
"193","PMCHL1","VGLL2",NA
"194","VGLL2","UNC79",NA
"195","LHX5","ASTN1",NA
"196","SMR3A","SAG",NA
"197","OR11G2","HTN1",NA
"198","RHOXF1","IRS4",NA
"199","FAM24A","IL36A",NA
"200","KY","NOL4",NA
"201","CADM2","SPANXN5",NA
