"","Canonical","NonCanonical","Atypical"
"1","ELAVL3","LOC654780",NA
"2","LOC654780","CCKAR",NA
"3","RELB","SLC22A6",NA
"4","SLC22A6","ELAVL3",NA
"5","LOC391322","M1AP",NA
"6","DNM1P35","SFTPA1",NA
"7","KRT83","TMEM213",NA
"8","SYT5","OR7A17",NA
"9","KCTD19","DNM1P35",NA
"10","SAG","GRIN2A",NA
"11","CCKAR","OR5J2",NA
"12","SLC1A6","KRT83",NA
"13","OR7A17","RELB",NA
"14","MAT2B","LOC391322",NA
"15","SFTPA1","SLC25A48",NA
"16","HS6ST3","SYT5",NA
"17","SLC26A1","NOS1",NA
"18","NDUFA4L2","ABCB11",NA
"19","PPP1R27","SLC1A6",NA
"20","SDHD","GJA8",NA
"21","M1AP","OR10H2",NA
"22","NXNL1","KIF6",NA
"23","HCN2","STAC2",NA
"24","CACNG3","HPCAL4",NA
"25","DLAT","PRDM9",NA
"26","NALCN","CACNG3",NA
"27","INTS1","IL1RAPL1",NA
"28","NYX","PPP1R27",NA
"29","NOS1","HS6ST3",NA
"30","PSG9","MYL2",NA
"31","CACNG7","TCL6",NA
"32","GHSR","NRG2",NA
"33","KIF6","CTF1",NA
"34","NRG2","NALCN",NA
"35","IL1RAPL1","GHSR",NA
"36","CYP17A1","SIRPB2",NA
"37","TMEM213","GAS2L2",NA
"38","COA4","PCDHA6",NA
"39","ABCB11","SPATA3",NA
"40","LRFN2","ATCAY",NA
"41","MYL2","VSX1",NA
"42","SYNDIG1L","TEX26",NA
"43","BOD1L2","AQP4",NA
"44","GRIN2A","CD7",NA
"45","CACNG2","TAS1R1",NA
"46","OR10H2","KCTD19",NA
"47","DNAJB13","CACNG7",NA
"48","STAC2","SYNDIG1L",NA
"49","BAALC","SAG",NA
"50","DKKL1","GRM5",NA
"51","SLC5A10","PLD5",NA
"52","EVPLL","LCN8",NA
"53","GPR101","NYX",NA
"54","IFITM5","OR7G2",NA
"55","ALPG","BAALC",NA
"56","HPCAL4","TREML2",NA
"57","FAM163A","MAT2B",NA
"58","PFN3","IGHG1",NA
"59","VSX1","TRPV5",NA
"60","OR5J2","RBFOX3",NA
"61","TAS1R1","FRMPD1",NA
"62","PRDM9","SLC5A10",NA
"63","CLNS1A","RIMS1",NA
"64","DLG2","DNAJB13",NA
"65","CDC42","SPRNP1",NA
"66","IGHG1","GPR101",NA
"67","PICALM","ALPG",NA
"68","IARS2","NTRK3",NA
"69","LCNL1","CACNG2",NA
"70","FRMPD1","OTX2",NA
