"","x"
"GSM2928730_6C162TT1-131030_PrimeView_.CEL.gz","Atypical"
"GSM2928731_6C176TT1-131030_PrimeView_.CEL.gz","Atypical"
"GSM2928732_6C181TT1-131030_PrimeView_.CEL.gz","Atypical"
"GSM2928733_6C184TT1-131030_PrimeView_.CEL.gz","Atypical"
"GSM2928734_6C188TT1-131030_PrimeView_.CEL.gz","Atypical"
"GSM2928735_6C288TT1-131030_PrimeView_.CEL.gz","Atypical"
"GSM2928736_6C457TT1-131030_PrimeView_.CEL.gz","Canonical"
"GSM2928737_6C462TT1-131030_PrimeView_.CEL.gz","NonCanonical"
"GSM2928738_6C697TT1-131108_PrimeView_.CEL.gz","NonCanonical"
"GSM2928739_6C699TT1-131108_PrimeView_.CEL.gz","Atypical"
"GSM2928740_6C742TT1-131108_PrimeView_.CEL.gz","Canonical"
"GSM2928741_6C859TT1-131108_PrimeView_.CEL.gz","Canonical"
"GSM2928742_6C886TT1-131108_PrimeView_.CEL.gz","Atypical"
"GSM2928743_6C901TT1-131108_PrimeView_.CEL.gz","Atypical"
"GSM2928744_8C049TT1-131108_PrimeView_.CEL.gz","Atypical"
"GSM2928745_8C058TT1-131108_PrimeView_.CEL.gz","Atypical"
"GSM2928746_8C133TT1-131108_PrimeView_.CEL.gz","Atypical"
"GSM2928747_8C239TT1-131108_PrimeView_.CEL.gz","Canonical"
"GSM2928748_8C327TT2-131108_PrimeView_.CEL.gz","Atypical"
"GSM2928749_8C370TT1-131108_PrimeView_.CEL.gz","Atypical"
"GSM2928750_8C390TT1-131108_PrimeView_.CEL.gz","Canonical"
"GSM2928751_8C555TT1-131113_PrimeView_.CEL.gz","Atypical"
"GSM2928752_8C582TT1-131113_PrimeView_.CEL.gz","Atypical"
"GSM2928753_8C697TT1-131113_PrimeView_.CEL.gz","Atypical"
"GSM2928754_8C848TT1-131113_PrimeView_.CEL.gz","Atypical"
"GSM2928755_8C862TT1-131113_PrimeView_.CEL.gz","Atypical"
"GSM2928756_8C930TT1-131113_PrimeView_.CEL.gz","Atypical"
"GSM2928757_8C968TT1-131113_PrimeView_.CEL.gz","Atypical"
"GSM2928758_9C038TT1-131113_PrimeView_.CEL.gz","Atypical"
"GSM2928759_9C074TT1-131113_PrimeView_.CEL.gz","Atypical"
"GSM2928760_9C187TT1-131113_PrimeView_.CEL.gz","Atypical"
"GSM2928761_9C210TT1-131113_PrimeView_.CEL.gz","Atypical"
"GSM2928762_9C368TT1-131113_PrimeView_.CEL.gz","Atypical"
"GSM2928763_9C370TT1-131115_PrimeView_.CEL.gz","Canonical"
"GSM2928764_9C425TT1-131115_PrimeView_.CEL.gz","Atypical"
"GSM2928765_9C461TT1-131115_PrimeView_.CEL.gz","Atypical"
"GSM2928766_9C584TT2-131115_PrimeView_.CEL.gz","Atypical"
