"","x"
"SC00552A","Atypical"
"SC00553A","NonCanonical"
"SC00554A","Atypical"
"SC00557A","NonCanonical"
"SC00558A","Atypical"
"SC00559A","NonCanonical"
"SC00560A","NonCanonical"
"SC00561A","NonCanonical"
"SC00562A","NonCanonical"
"SC00565A","Atypical"
"SC00566A","Atypical"
"SC00567A","Atypical"
"SC00568A","NonCanonical"
"SC00569A","Atypical"
"SC00570A","Atypical"
"SC00571A","Atypical"
"SC00572A","Atypical"
"SC00573A","Atypical"
"SC00574A","Canonical"
"SC00575A","NonCanonical"
"SC00576A","Atypical"
"SC00577A","Atypical"
"SC00578A","NonCanonical"
"SC00581A","Atypical"
"SC00582A","Canonical"
"SC00583A","NonCanonical"
"SC00584A","Atypical"
"SC00585A","NonCanonical"
"SC00587A","Atypical"
"SC00588A","Atypical"
"SC00589A","Atypical"
"SC00590A","Atypical"
"SC00591A","Canonical"
"SC00592A","Canonical"
"SC00594A","Atypical"
"SC00595A","Canonical"
"SC00596A","Atypical"
"SC00597A","Atypical"
"SC00598A","Atypical"
"SC00599A","Canonical"
"SC00600A","Atypical"
"SC00956A","Atypical"
"SC00957A","Atypical"
"SC00958A","NonCanonical"
"SC00959A","Canonical"
"SC00960A","Atypical"
"SC00961A","Atypical"
"SC00962A","Atypical"
"SC00963A","NonCanonical"
"SC00964A","Atypical"
"SC00965A","NonCanonical"
"SC00966A","Canonical"
"SC00967A","Canonical"
"SC00968A","Atypical"
"SC00969A","Canonical"
"SC00970A","NonCanonical"
"SC00971A","Atypical"
"SC00972A","Atypical"
"SC00973A","Atypical"
"SC00974A","Atypical"
"SC00975A","Canonical"
"SC00976A","Canonical"
"SC00977A","Atypical"
"SC00978A","Atypical"
"SC00979A","NonCanonical"
"SC00980A","NonCanonical"
"SC00981A","Canonical"
"SC00982A","Atypical"
"SC00983A","Atypical"
"SC00984A","Canonical"
"SC00985A","Atypical"
"SC00986A","NonCanonical"
"SC00987A","Canonical"
"SC00988A","Atypical"
"SC00989A","Atypical"
"SC00990A","Atypical"
"SC00991A","Atypical"
"SC00992A","NonCanonical"
"SC00993A","Atypical"
"SC00994A","Atypical"
"SC00995A","Atypical"
"SC00996A","NonCanonical"
"SC00997A","Atypical"
"SC00998A","NonCanonical"
"SC00999A","Atypical"
"SC01000A","Canonical"
"SC01001A","Atypical"
"SC01002A","Canonical"
"SC01003A","Atypical"
"SC01004A","Atypical"
"SC01005A","Atypical"
"SC01006A","NonCanonical"
"SC01007A","Canonical"
"SC01008A","Canonical"
"SC01009A","Atypical"
"SC01010A","Atypical"
"SC01011A","Canonical"
"SC01012A","Atypical"
"SC01013A","Atypical"
"SC01014A","Atypical"
"SC01015A","Atypical"
"SC01016A","Atypical"
"SC01018A","Atypical"
"SC01019A","NonCanonical"
"SC01020A","NonCanonical"
"SC01021A","Atypical"
"SC01022A","Atypical"
"SC01024A","Atypical"
"SC01025A","NonCanonical"
"SC01026A","Atypical"
"SC01027A","NonCanonical"
"SC01028A","Atypical"
"SC01029A","NonCanonical"
"SC01030A","Atypical"
"SC01031A","Atypical"
"SC01032A","Atypical"
"SC01033A","Atypical"
"SC01034A","Atypical"
"SC01035A","Atypical"
"SC01036A","NonCanonical"
"SC01037A","Atypical"
"SC01039A","Atypical"
"SC01040A","NonCanonical"
"SC01190A","Atypical"
"SC01192A","Atypical"
"SC01193A","Atypical"
"SC01194A","Atypical"
"SC01195A","Atypical"
"SC01196A","NonCanonical"
"SC01198A","Atypical"
"SC01199A","NonCanonical"
"SC01200A","Atypical"
"SC01201A","NonCanonical"
"SC01202A","Atypical"
"SC01205A","Canonical"
"SC01206A","NonCanonical"
"SC01209A","NonCanonical"
"SC01210A","Atypical"
"SC01211A","Atypical"
"SC01212A","NonCanonical"
"SC01216A","Atypical"
"SC01217A","NonCanonical"
"SC01218A","Atypical"
"SC01219A","Atypical"
"SC01220A","Atypical"
"SC01221A","Atypical"
"SC01225A","Atypical"
"SC01227A","Atypical"
"SC01228A","Atypical"
"SC01229A","Atypical"
"SC01230A","Atypical"
"SC01231A","Atypical"
"SC01232A","Atypical"
"SC01233A","Atypical"
"SC01235A","Canonical"
"SC01236A","NonCanonical"
"SC01238A","Canonical"
"SC01239A","Atypical"
"SC01241A","Atypical"
"SC01242A","Atypical"
"SC01243A","Canonical"
"SC01244A","Atypical"
"SC01245A","Atypical"
"SC01246A","Atypical"
"SC01248A","Canonical"
"SC01249A","Canonical"
"SC01250A","Atypical"
"SC01251A","Atypical"
"SC01252A","NonCanonical"
"SC01254A","Canonical"
"SC01255A","Atypical"
"SC01257A","NonCanonical"
"SC01258A","Atypical"
"SC01261A","Atypical"
"SC01262A","Atypical"
"SC01264A","Atypical"
"SC01265A","Atypical"
"SC01266A","Atypical"
"SC01267A","Canonical"
"SC01268A","Atypical"
"SC01269A","Canonical"
"SC01270A","Atypical"
"SC01271A","Canonical"
"SC01272A","Atypical"
"SC01273A","Atypical"
"SC01274A","Atypical"
"SC01275A","Atypical"
"SC01276A","Atypical"
"SC01277A","Atypical"
"SC01278A","Atypical"
"SC01279A","Canonical"
"SC01281A","Atypical"
"SC01282A","Canonical"
"SC01283A","Canonical"
"SC01284A","Canonical"
"SC01285A","Atypical"
"SC01286A","Atypical"
"SC01287A","Atypical"
"SC01288A","Atypical"
"SC01290A","Atypical"
"SC01291A","Atypical"
"SC01292A","Canonical"
"SC01293A","Canonical"
"SC01294A","Canonical"
"SC01295A","Atypical"
"SC01296A","Atypical"
"SC01297A","Atypical"
"SC01298A","Canonical"
"SC01299A","Canonical"
"SC01302A","Atypical"
"SC01303A","Canonical"
"SC01306A","Atypical"
"SC01307A","Atypical"
"SC01308A","Atypical"
"SC01309A","Canonical"
"SC01310A","Canonical"
"SC01311A","Atypical"
"SC01312A","Atypical"
"SC01313A","Canonical"
"SC01315A","Canonical"
"SC01316A","NonCanonical"
"SC01317A","Canonical"
"SC01318A","Atypical"
