"","Canonical","NonCanonical","Atypical"
"1","OSBP2","TXNDC12",NA
"2","CRIP3","SH3BP5L",NA
"3","GPX6","GPX6",NA
"4","TXNDC12","ATP1A2",NA
"5","RBM7","EIF3H",NA
"6","GNRH2","SYCN",NA
"7","ATG14","ODAD1",NA
"8","SRP9","CRIP3",NA
"9","YWHAQ","HNRNPA1",NA
"10","MATN1","AMELX",NA
"11","AMELX","PPP1R1A",NA
"12","BCAS2","PHOSPHO1",NA
"13","CMPK1","EPX",NA
"14","ODAD1","KPNA7",NA
"15","FBP2","FBP2",NA
"16","RAP1A","RAP1A",NA
"17","SCAMP5","YWHAQ",NA
"18","SLC38A3","TSPOAP1",NA
"19","PKNOX2","OSBP2",NA
"20","ELN","GRID1",NA
"21","NCKAP1","OR10K1",NA
"22","TBATA","PROZ",NA
"23","HHAT","MLIP",NA
"24","RHBDL1","IRF5",NA
"25","LENEP","SERBP1",NA
"26","NUDCD2","RPL7",NA
"27","CYSRT1","CA6",NA
"28","PTPRS","SRP9",NA
"29","EIF3H","BCAS2",NA
"30","ALK","RBM7",NA
"31","MROH2B","OR10A4",NA
"32","MLIP","RBMX",NA
"33","HAP1","UBE2E1",NA
"34","SEC14L4","CD177",NA
"35","FCER2","EIF1B",NA
"36","NFIC","MATN1",NA
"37","EXOC3L2","STAB2",NA
"38","DEFB113","ELAVL3",NA
"39","OR10P1","PIANP",NA
"40","UGP2","F8",NA
"41","CYP4A22","SPATA31H1",NA
"42","PPP1CC","HHAT",NA
"43","PRR29","SEC14L4",NA
"44","TMEM132E","XIRP1",NA
"45","DNAAF1","CCDC166",NA
"46","EPX","SYDE1",NA
"47","LSM4","GNRH2",NA
"48","CRLF1","SLC38A3",NA
"49","NECAB2","HSPA12A",NA
"50","LOC339059","ACAP3",NA
"51","TSPOAP1","MROH2B",NA
"52","TM2D1","ASIC4",NA
"53","DNAJB13","MCHR1",NA
"54","SFT2D1","CD33",NA
"55","F8","ROBO4",NA
"56","TMED2","CD4",NA
"57","CX3CL1","HTR3D",NA
"58","GATA1","SFT2D1",NA
"59","IFNW1","DNAI1",NA
"60","KCNH4","C11orf87",NA
"61","PCDHAC2","PRR29",NA
"62","ATP1A2","RPL5",NA
"63","OR10A4","PTPRS",NA
"64","HNRNPA1","PNMA3",NA
"65","CA6","TLCD3B",NA
"66","TMPRSS6","RPL15",NA
"67","GRIK5","ASCL3",NA
"68","KPNA7","ZC2HC1B",NA
"69","LINGO1","SRMS",NA
