"","Canonical","NonCanonical","Atypical"
"1","ELAVL3","CCKAR",NA
"2","NYX","LOC654780",NA
"3","LOC391322","ELAVL3",NA
"4","CCKAR","M1AP",NA
"5","KIF6","SLC22A6",NA
"6","SLC22A6","TMEM213",NA
"7","M1AP","TCL6",NA
"8","SLC26A1","SFTPA1",NA
"9","LOC654780","OR5J2",NA
"10","SLC1A6","KIF6",NA
"11","KRT83","SLC25A48",NA
"12","SFTPA1","LOC391322",NA
"13","SYT5","GRIN2A",NA
"14","BOD1L2","GJA8",NA
"15","BAALC","NOS1",NA
"16","SAG","SLC1A6",NA
"17","NALCN","SYT5",NA
"18","HS6ST3","KRT83",NA
"19","DNM1P35","OR7A17",NA
"20","LRFN2","ABCB11",NA
"21","TMEM213","PRDM9",NA
"22","IGHG1","NYX",NA
"23","NDUFA4L2","DNM1P35",NA
"24","SYNDIG1L","MYL2",NA
"25","NRG2","HPCAL4",NA
"26","CACNG2","LINC00700",NA
"27","SDHD","CTF1",NA
"28","OR5J2","OR10H2",NA
"29","DLG2","NALCN",NA
"30","GJA8","PCDHA6",NA
"31","PROK1","PPP1R27",NA
"32","MARCHF10","SPATA3",NA
"33","MYT1L","AQP4",NA
"34","VSX1","NRG2",NA
"35","HPCAL4","OR7G2",NA
"36","NRXN1","TAS1R1",NA
"37","GRIN2A","HS6ST3",NA
"38","GOT1L1","GAS2L2",NA
"39","EVPLL","TEX26",NA
"40","CD37","RBFOX3",NA
"41","PSD","IGHG1",NA
"42","OR7A17","BOD1L2",NA
"43","OR10H2","MYT1L",NA
"44","TCL6","BAALC",NA
"45","CSMD1","CACNG3",NA
"46","TLX3","VSX1",NA
"47","SLC25A48","CACNG7",NA
"48","PRSS55","SPRNP1",NA
"49","NTRK3","DSCAML1",NA
"50","PRDM9","SLC26A1",NA
"51","DIRAS1","SYNDIG1L",NA
"52","AQP4","ATCAY",NA
"53","PFN3","MCHR2",NA
"54","CYP17A1","GDF2",NA
"55","CDK5R2","PLD5",NA
"56","ABCB11","DSCR4",NA
"57","GPR101","NTRK3",NA
