"","Canonical","NonCanonical","Atypical"
"1","CRX","MLIP","PANK1"
"2","PCDHA1","BMP8A","GABBR2"
"3","CYP4A22","KCNIP2","OR10A7"
"4","SEZ6L","PCDHA1","WNT8B"
"5","MLIP","ZFP57","CNIH3"
"6","BMP8A","NLRP4","CYP4F22"
"7","PTPRS","CRX","FYB2"
"8","ZFP57","FLJ33534","DMBX1"
"9","GNRH2","PAK3","FBP2"
"10","KCNIP2","PTPRS","ENTREP2"
"11","NLRP4","TSPOAP1","LINC00268"
"12","GRXCR2","WNT10B","TRIM48"
"13","OSBP2","XAGE2",NA
"14","LINC00313","FBP2",NA
"15","CLEC17A","OR8B4",NA
"16","CRMA","PFN4",NA
"17","GPR151","SEZ6L",NA
"18","TSPOAP1","MAP3K10",NA
"19","MAP3K10","OSBP2",NA
"20","MYOZ1","GNRH2",NA
"21","PAK3","CYP4A22",NA
"22","ACSM1","COL14A1",NA
"23","LCE1D","MYOZ1",NA
"24","OR52B6","VCX2",NA
"25","VSTM5","OR51G2",NA
"26","AMELX","LINC02447",NA
"27","GPBAR1","GRIN2B",NA
"28","WNT10B","CLEC17A",NA
"29","VCX2","TLCD3B",NA
"30","LOC339059","CMAHP",NA
"31","FBP2","GRXCR2",NA
"32","SMYD1","SPEG",NA
"33","GGN","DBNDD1",NA
"34","MAFIP","NXNL2",NA
"35","PFN4","OR52B6",NA
"36","CMAHP","ZSCAN23",NA
"37","HES7","FGF6",NA
"38","XAGE2","LINC00313",NA
"39","ADGRE2","DCSTAMP",NA
"40","LCE1F","SMCO1",NA
"41","TLCD3B","FAM186A",NA
"42","GPSM1","C12orf42",NA
"43","MC1R","HES7",NA
"44","NTSR2","TEKTL1",NA
"45","OR2M7","SLC5A10",NA
"46","CDRT15","FYB2",NA
"47","GRIN2B","GPR151",NA
"48","PKNOX2","TCHHL1",NA
"49","MRGPRE","TPSD1",NA
"50","CACNG8","PYDC2",NA
"51","PRR29","PRR29",NA
"52","PYDC2","ANKRD2",NA
"53","LINC01193","ADGRE2",NA
"54","GPR149","MATN1",NA
"55","GRM7","PRODH2",NA
"56","DBNDD1","VGLL2",NA
"57","NXNL2","GPR149",NA
"58","OR10K1","SPRR4",NA
"59","GP9","LOC339059",NA
"60","TTBK1","TRIM48",NA
"61","DCSTAMP","GPBAR1",NA
"62","VGLL2","C7",NA
"63","XKRX","SPMAP1",NA
"64","TCHHL1","ACSM5",NA
"65","FLJ33534","CDRT15",NA
"66","OR2AG1","TEKT1",NA
"67","NOTCH1","HRNR",NA
"68","CRIP3","LCE1F",NA
"69","LINC00598","HELT",NA
"70","MATN1","PATE1",NA
"71","ALX4","FUT5",NA
"72","FCER2","RGS6",NA
"73","OR8B4","OR4A15",NA
"74","FUT5","NOTCH1",NA
"75","HTR3D","ENHO",NA
"76","SPEG","SPANXN4",NA
"77","SYN1","GYPA",NA
"78","NXPH4","CCDC177",NA
"79","SEC14L3","LCE1D",NA
"80","SNRPD1","ZNF575",NA
"81","H2AC21","FCER2",NA
"82","MTUS2","PEX5L",NA
"83","PEX5L","NUTM1",NA
"84","INCA1","ASCL3",NA
"85","SPMAP1","PKNOX2",NA
"86","SPACA4","OR5AK2",NA
"87","ST8SIA5","GP9",NA
"88","IQSEC2","CSH1",NA
"89","IQCN","SCUBE1",NA
"90","TPSD1","GPSM1",NA
"91","SLC5A10","HEPN1",NA
"92","ACSM5","ZBTB6",NA
"93","FAM170A","AP4S1",NA
"94","ZSCAN23","LINC00598",NA
"95","DOC2A","SHCBP1L",NA
"96","C12orf42","GAMT",NA
"97","SLC38A3","DLGAP3",NA
"98","TMEM130","ALX4",NA
"99","NELL1","IQCN",NA
"100","SLC25A34","CYP4F22",NA
"101","WNT9B","OR8H2",NA
"102","SPANXN4","SPATA31H1",NA
"103","KCNJ4","TRIM46",NA
"104","FAM186A","TMEM130",NA
"105","TEKT1","IQSEC2",NA
"106","TRIM48","SMYD1",NA
"107","SPAM1","SEC14L3",NA
"108","NANOG","OR2A25",NA
"109","PCDHGA7","WNT8B",NA
"110","HMX1","SEC1P",NA
"111","SHCBP1L","ELN",NA
"112","SPMIP9","YWHAEP7",NA
"113","MEGF11","BLOC1S3",NA
"114","RGS6","WNT9B",NA
"115","SPRR4","NTSR2",NA
"116","CACNA1C","PSG9",NA
"117","VSX1","OR4F13P",NA
"118","DNAAF1","CRMA",NA
"119","SPATA31H1","ZNF99",NA
"120","EFCC1","VSTM5",NA
"121","SFMBT2","IGFBPL1",NA
"122","NSG2","AQP7",NA
"123","SLC39A6","VSX1",NA
"124","PIANP","OR51B2",NA
"125","GYPA","GPR179",NA
"126","ATG9B","SPAM1",NA
"127","KRT222","AGBL1",NA
"128","TEKTL1","LINC01193",NA
"129","SSX2IP","ACSM1",NA
"130","LINC00158","LHX3",NA
"131","SCAMP5","ERICH3",NA
"132","MINK1","CACNA1C",NA
"133","OR8H2","GAS2L2",NA
"134","GARIN1B","OR2AG1",NA
"135","KIF9","PLCB2",NA
"136","ETV3L","SLC26A8",NA
"137","SPATA16","LCE1A",NA
"138","HPSE2","KCNJ4",NA
"139","DENND1C","LOXHD1",NA
"140","LPA","FCRL6",NA
"141","GALNT16","MYO16",NA
"142","FYB2","ZNF710",NA
"143","HIC1","IL21",NA
"144","IFT122P3","MC1R",NA
"145","COL14A1","OR2M7",NA
"146","HELT","INCA1",NA
"147","OR7A5","RNF112",NA
"148","MCCD1","OR8K1",NA
"149","DLG4","OR10V1",NA
"150","MYO16","LY6G6C",NA
"151","NHLH1","CCDC13",NA
"152","C1QL1","SPMIP9",NA
"153","RNF112","MRGPRE",NA
"154","GPR179","ABCG4",NA
"155","PLIN4","CRHR1",NA
"156","SGCZ","KIF9",NA
"157","TMED3","GPC5",NA
"158","ZNF99","OR10A7",NA
"159","GAS2L2","AMELX",NA
"160","TTLL6","TAL2",NA
"161","UGT3A2","NINL",NA
"162","OR4X2","GGN",NA
"163","GPR162","CSMD2",NA
"164","NUTM1","LINC02881",NA
"165","FGF6","PRCD",NA
"166","ELN","ZBTB46",NA
"167","LRTM1","HPSE2",NA
"168","KRT83","NFKBID",NA
"169","PYY2","CCDC27",NA
"170","CDH8","SLC38A3",NA
"171","YWHAEP7","KCNQ2",NA
"172","TGM5","TCF15",NA
"173","TPMT","HIC1",NA
"174","SMDT1","ITGA10",NA
"175","LINC00161","SLC22A20P",NA
"176","CAMKV","CMTR2",NA
"177","UCP2","LINC00268",NA
"178","LY6G6C","LYRM9",NA
"179","OR51B2","LRTM1",NA
