"","Canonical","NonCanonical","Atypical"
"1","NYX","LRFN2","IL1B"
"2","LRFN2","EVA1B","MMP3"
"3","IGHG1","NYX","INHBA"
"4","SLC1A6","PCDHA13","CXCL8"
"5","KIAA0825","NUTM1","IL24"
"6","NUTM1","CCBE1","IL11"
"7","EVA1B","IGHG1","PROK2"
"8","PCDHA13","SYNGAP1",NA
"9","SYNGAP1","LINC00906",NA
"10","BLK","CD37",NA
"11","CCBE1","GNG7",NA
"12","ELAVL3","NDUFA4L2",NA
"13","NDUFA1","BAALC",NA
"14","CNGA3","CIBAR2",NA
"15","SAMD14","DUOXA2",NA
"16","CELF4","KIAA0825",NA
"17","CFAP92","SAMD14",NA
"18","OR10G7","ELAVL3",NA
"19","TMEM258","MYL9",NA
"20","PTCRA","SOX3",NA
"21","CCKAR","C4orf51",NA
"22","RPS13","SLC1A6",NA
"23","GNG7","CCKAR",NA
"24","DUOXA2","FUT7",NA
"25","PDZD4","POMC",NA
"26","ATP5IF1","FFAR3",NA
"27","GDF2","WNT5B",NA
"28","LOC391322","LTB",NA
"29","DLG2","CACNG2",NA
"30","TMEM213","EPO",NA
"31","LTB","CELF4",NA
"32","CD37","RAC3",NA
"33","LINC00906","SLC25A48",NA
"34","C4orf51","MTNR1B",NA
"35","PLEKHG4B","CNGA3",NA
"36","RPL39","WNT6",NA
"37","M1AP","LOXHD1",NA
"38","NAA38","PDZD4",NA
"39","SLC25A48","PSD",NA
"40","MTNR1B","SRY",NA
"41","PROK1","LYZL6",NA
"42","SYCE1","PLEKHG4B",NA
"43","CCDC85A","SLC22A6",NA
"44","BAALC","TUBB7P",NA
"45","FGF12","BLK",NA
"46","SYT5","CFAP92",NA
"47","CIBAR2","PDIA2",NA
"48","LINGO1","SYCE1",NA
"49","WNT5B","GDF2",NA
"50","EPO","TMEM213",NA
"51","FFAR3","CLDN19",NA
"52","OR2A5","COX7A1",NA
"53","GFRA2","DPYSL4",NA
"54","RXRG","CD164",NA
"55","COL25A1","PTCRA",NA
"56","COX6C","ZPBP",NA
"57","TDH","BRME1",NA
"58","DBH","LOC441239",NA
"59","CACNG2","EVPLL",NA
"60","CFAP100","FOXE1",NA
"61","CDH23","PLPPR3",NA
"62","CSMD1","LINGO1",NA
"63","SLC6A15","ADGRA2",NA
"64","NXT1","M1AP",NA
"65","KIF6","PROK1",NA
"66","MAP1LC3C","HES7",NA
"67","FCN2","SPTBN4",NA
"68","LHX9","DNAJB13",NA
"69","ZPBP","DLG2",NA
"70","SLC22A8","TSGA13",NA
"71","OPRM1","PCDHA11",NA
"72","WNT3A","SYT5",NA
"73","NTN3","FCN2",NA
"74","NDUFA4L2","LZTS1",NA
"75","CADM2","OR10G7",NA
"76","NALCN","CASR",NA
"77","PSD","PFN3",NA
"78","SLC22A6","GFRA2",NA
"79","MYT1L","LRTM2",NA
"80","SOX3","OPRM1",NA
"81","LOXHD1","FAM163A",NA
"82","HPCAL4","LOC654780",NA
"83","GPR149","LOC391322",NA
"84","CASR","ATP5IF1",NA
"85","MYL9","KIF6",NA
"86","TMEFF2","LOC339059",NA
"87","ANKRD20A21P","HPCAL4",NA
"88","HS6ST3","OR2A5",NA
"89","SPTBN4","CFAP100",NA
"90","PDIA2","TLX3",NA
"91","EVPLL","CIMAP1B",NA
"92","TUBB7P","SLC5A10",NA
"93","PMCHL1","DHH",NA
"94","TEX13A","OTOS",NA
"95","CLDN6","SSTR3",NA
"96","BOD1L2","CDH23",NA
"97","RPL27","TDH",NA
"98","SCN2B","TTC9B",NA
"99","MARCHF10","KRT83",NA
"100","SSPOP","NEUROD6",NA
"101","IFNA6","IQSEC3",NA
"102","TLX3","NAA38",NA
"103","MZT1","CSMD1",NA
"104","OR7A10","SSPOP",NA
"105","LZTS1","WNT3A",NA
"106","RPS17","MORN3",NA
"107","TACR3","GRIN2A",NA
"108","UNC80","NTN3",NA
"109","LRTM2","RPS17",NA
"110","CBS","UNC79",NA
"111","LOC441239","ITGAL",NA
"112","ATP5MK","CLEC1B",NA
"113","ADAMTS18","HMCN2",NA
"114","LOC339059","SLC22A8",NA
"115","NEUROD4","CYP4F22",NA
"116","DPYSL4","SPANXN3",NA
"117","SLC6A11","OR7A10",NA
"118","RPA3","NALCN",NA
"119","DSCAML1","SPRED3",NA
"120","WDR64","MARCHF10",NA
"121","TRAPPC3L","RPL39",NA
"122","SSTR3","DKKL1",NA
"123","TMEM132E","LHX3",NA
"124","CPA2","HSP90AB4P",NA
"125","DHFR","MYCBPAP",NA
