"","Canonical","NonCanonical","Atypical"
"1","NYX","RELB","ICAM1"
"2","LINC01565","NRG2","HAPLN3"
"3","CCKAR","EPO","CLEC3B"
"4","ELAVL3","NYX","HGD"
"5","KIAA0825","ELAVL3","HOXB6"
"6","SLC1A6","IGHG1","UCN2"
"7","IGHG1","RAX","LY6E"
"8","ADAM7","ELANE","AANAT"
"9","LOC391322","SYCE1","S1PR5"
"10","SYCE1","LINC00671","REP15"
"11","BOD1L2","SLC22A6","IRAK2"
"12","SFTPA1","CCKAR","ADAMTS4"
"13","EPO","ARK2C","SOCS3"
"14","CSMD1","INSRR","PNMA8B"
"15","KIF6","CD37","FAM170A"
"16","NRG2","SAMD14","CSF3R"
"17","LOC654780","LOC339059","OR10Q1"
"18","NRXN1","PSD","HAS1"
"19","M1AP","KRT83","NNMT"
"20","PROK1","SPTBN4","C11orf96"
"21","SYNDIG1L","LOC654780","GPM6B"
"22","DLG2","DNAJB13","ACAN"
"23","SP7","TSKS","IL23A"
"24","PRL","OTOS","ZNF534"
"25","CCDC85A","ALPI","KRT84"
"26","NUTM1","COX6A2","NXN"
"27","PAX1","HCN2","MDGA1"
"28","SLC22A6","NDUFA4L2","HOXB9"
"29","ICAM4","TMEM105","NRK"
"30","MAP1LC3C","PCDHA6","SYT12"
"31","SYNGAP1","SIRPB2","CD86"
"32","GJA8","ALPG","PPP6R1"
"33","NEUROD6","CCDC166","PRELP"
"34","OR10H2","EVA1B","SOHLH1"
"35","ZPBP","SYNGAP1","THY1"
"36","NTNG1","LCNL1","GFPT2"
"37","ZNF233","INTS1","PLAU"
"38","MYT1L","DLG2","NEDD4L"
"39","PCDHA6","ABHD1","SMTNL2"
"40","LINGO1","TMEM190","TNFRSF6B"
"41","SLC25A48","DNM1P35","NKD1"
"42","NALCN","BAALC","ANGPTL4"
"43","PRDM9","SYT5","CXCL2"
"44","TMEM213","NUTM1","FEZF2"
"45","INSRR","CACNG7","COL5A3"
"46","GDF2","OR10H2","LRRC15"
"47","PCDHA13","EVPLL","BARX1"
"48","OR9A2","LINC01565","HEPACAM2"
"49","KRT83","FUT7","BAMBI"
"50","OPRM1","MYL2","CLCA1"
"51","PRSS55","TAS1R1","PROX1"
"52","FGF12","KIF6","PDPN"
"53","DNAJB13","SFTPA1","FPR1"
"54","LINC01623","PPP1R27","NOTCH3"
"55","SYT5","DKKL1","MEDAG"
"56","OR9G1","DHH","HOXB8"
"57","DNM1P35","M1AP","COL15A1"
"58","RANBP3L","LINGO1","TMEM158"
"59","AQP4","DPYSL4","HTRA3"
"60","MCHR2","OPRM1","FCGBP"
"61","EPHA6","LINC02870","LRRIQ4"
"62","TMEM132E","LINC00906","TGM2"
"63","RXRG","GHSR","ZNF469"
"64","LINC00906","SLC5A10","IL11"
"65","CACNG2","SLC1A6","SELE"
"66","C9","SPRNP1","KRT75"
"67","CD37","CACNG3","REG4"
"68","CNGA3","HMCN2","ANO7"
"69","TRPV5","CACNG2","PTGES"
"70","CIBAR2","WNT6","FLRT3"
"71","SLC22A2","ADCY5","TNC"
"72","SLC5A10","PRL","MUC2"
"73","RPE65","EXOC3L2","SP5"
"74","ZNF556","FAM163A","UGT1A6"
"75","RS1","MAPK4","PCNX2"
"76","ADCY5","SHANK1","PRDM16"
"77","TNNT1","PRDM9","VNN3P"
"78","PSD","SLC6A19","RSPO4"
"79","DUOXA2","CIBAR2","SLC11A1"
"80","DSCAML1","GDF2","EGFL6"
"81","LCE2D","NALCN","ITLN1"
