"","x"
"1","Atypical"
"2","Atypical"
"3","Non-Canonical"
"4","Atypical"
"5","Non-Canonical"
"6","Non-Canonical"
"7","Non-Canonical"
"8","Non-Canonical"
"9","Atypical"
"10","Non-Canonical"
"11","Atypical"
"12","Non-Canonical"
"13","Atypical"
"14","Atypical"
"15","Non-Canonical"
"16","Atypical"
"17","Non-Canonical"
"18","Canonical"
"19","Atypical"
"20","Non-Canonical"
"21","Atypical"
"22","Atypical"
"23","Atypical"
"24","Atypical"
"25","Atypical"
"26","Non-Canonical"
"27","Atypical"
"28","Non-Canonical"
"29","Canonical"
"30","Atypical"
"31","Atypical"
"32","Atypical"
"33","Canonical"
"34","Canonical"
"35","Non-Canonical"
"36","Atypical"
"37","Atypical"
"38","Atypical"
"39","Atypical"
"40","Canonical"
"41","Canonical"
"42","Atypical"
"43","Atypical"
"44","Non-Canonical"
"45","Canonical"
"46","Non-Canonical"
"47","Atypical"
"48","Atypical"
"49","Non-Canonical"
"50","Canonical"
"51","Non-Canonical"
"52","Atypical"
"53","Canonical"
"54","Atypical"
"55","Atypical"
"56","Atypical"
"57","Canonical"
"58","Atypical"
"59","Atypical"
"60","Atypical"
"61","Canonical"
"62","Canonical"
"63","Canonical"
"64","Canonical"
"65","Non-Canonical"
"66","Non-Canonical"
"67","Canonical"
"68","Non-Canonical"
"69","Canonical"
"70","Canonical"
"71","Atypical"
"72","Atypical"
"73","Canonical"
"74","Atypical"
"75","Atypical"
"76","Canonical"
"77","Atypical"
"78","Atypical"
"79","Canonical"
"80","Non-Canonical"
"81","Canonical"
"82","Atypical"
"83","Atypical"
"84","Atypical"
"85","Atypical"
"86","Canonical"
"87","Canonical"
"88","Canonical"
"89","Canonical"
"90","Canonical"
"91","Atypical"
"92","Non-Canonical"
"93","Canonical"
"94","Canonical"
"95","Atypical"
"96","Non-Canonical"
"97","Atypical"
"98","Canonical"
"99","Canonical"
"100","Atypical"
"101","Atypical"
"102","Atypical"
"103","Atypical"
"104","Atypical"
"105","Atypical"
"106","Atypical"
"107","Canonical"
"108","Atypical"
"109","Atypical"
"110","Atypical"
"111","Non-Canonical"
"112","Atypical"
"113","Non-Canonical"
"114","Atypical"
"115","Non-Canonical"
"116","Atypical"
"117","Canonical"
"118","Canonical"
"119","Atypical"
"120","Non-Canonical"
"121","Non-Canonical"
"122","Canonical"
"123","Atypical"
"124","Canonical"
"125","Canonical"
"126","Atypical"
"127","Canonical"
"128","Atypical"
"129","Non-Canonical"
"130","Atypical"
"131","Non-Canonical"
"132","Canonical"
"133","Non-Canonical"
"134","Atypical"
"135","Canonical"
"136","Non-Canonical"
"137","Atypical"
"138","Atypical"
"139","Atypical"
"140","Atypical"
"141","Atypical"
"142","Atypical"
"143","Atypical"
"144","Atypical"
"145","Atypical"
"146","Atypical"
"147","Canonical"
"148","Atypical"
"149","Non-Canonical"
"150","Non-Canonical"
"151","Atypical"
"152","Atypical"
"153","Canonical"
"154","Atypical"
"155","Canonical"
"156","Atypical"
"157","Canonical"
"158","Canonical"
"159","Atypical"
"160","Atypical"
"161","Canonical"
"162","Canonical"
"163","Canonical"
"164","Atypical"
"165","Canonical"
"166","Atypical"
"167","Canonical"
"168","Canonical"
"169","Atypical"
"170","Canonical"
"171","Canonical"
"172","Non-Canonical"
"173","Non-Canonical"
"174","Atypical"
"175","Atypical"
"176","Atypical"
"177","Atypical"
"178","Atypical"
"179","Atypical"
"180","Atypical"
"181","Canonical"
"182","Canonical"
"183","Canonical"
"184","Atypical"
"185","Atypical"
"186","Canonical"
"187","Non-Canonical"
"188","Canonical"
"189","Atypical"
"190","Canonical"
"191","Canonical"
"192","Canonical"
"193","Canonical"
"194","Canonical"
"195","Canonical"
"196","Canonical"
"197","Canonical"
"198","Canonical"
"199","Canonical"
"200","Canonical"
"201","Canonical"
"202","Canonical"
"203","Canonical"
"204","Canonical"
"205","Atypical"
"206","Canonical"
"207","Atypical"
"208","Canonical"
"209","Canonical"
"210","Canonical"
"211","Canonical"
"212","Canonical"
"213","Canonical"
"214","Canonical"
"215","Canonical"
"216","Canonical"
"217","Canonical"
"218","Canonical"
"219","Canonical"
"220","Canonical"
"221","Canonical"
"222","Canonical"
"223","Canonical"
