"","Canonical","NonCanonical","Atypical"
"1","RELB","RELB","ICAM1"
"2","CALM2","NFKB2","IL1RN"
"3","NYX","LRFN2","ANGPTL4"
"4","LRFN2","EVA1B","SOCS3"
"5","IGHG1","NYX","IL1B"
"6","SLC1A6","PCDHA13","RGS16"
"7","KIAA0825","NUTM1","CLDN20"
"8","NUTM1","CACNG7","AKAP7"
"9","IL34","CCBE1","MMP9"
"10","LINC00671","IGHG1","TMEM158"
"11","EVA1B","SYNGAP1","MMP3"
"12","ICAM4","LINC00671","SNAI1"
"13","PCDHA13","LINC00906","PTGES"
"14","TGM4","CD37","COL5A3"
"15","SYNGAP1","ICAM4","BCL2A1"
"16","CACNG7","GNG7","ZNF469"
"17","SRSF3","NDUFA4L2","TNFAIP6"
"18","SLC26A5","BAALC","TNC"
"19","EIF1","IL34","OSM"
"20","BLK","ELANE","PTGS2"
"21","GOT1L1","CIBAR2","INHBA"
"22","RBPJL","DUOXA2","CXCL8"
"23","TMBIM6","KIAA0825","ANGPTL7"
"24","CCBE1","NXNL1","CD86"
"25","ELAVL3","FBXL19","IL24"
"26","NDUFA1","RBPJL","SLC11A1"
"27","CNGA3","SAMD14","ADAMTS4"
"28","ZFP91","ELAVL3","CSF2"
"29","DYNLT1","MYL9","IL11"
"30","SAMD14","SKP1","PROK2"
"31","PPP1R27","SOX3","LRRC19"
"32","CELF4","PPP1R27","CXCL2"
"33","CFAP92","C4orf51","FPR2"
"34","OR10G7","SLC1A6","SLC6A20"
"35","TMEM258","CCKAR","IL6"
"36","PTCRA","ZNF229",NA
"37","CCKAR","FUT7",NA
"38","RPS13","POMC",NA
"39","GNG7","C1QTNF2",NA
"40","DUOXA2","SCYL2",NA
"41","OSTC","FFAR3",NA
"42","MRPL33","ARK2C",NA
"43","GABARAPL2","WNT5B",NA
"44","PDZD4","LTB",NA
"45","ATP5IF1","TGM4",NA
"46","GDF2","CACNG2",NA
"47","LOC391322","EPO",NA
"48","DLG2","CELF4",NA
"49","NXNL1","RAC3",NA
"50","SYNC","SLC25A48",NA
"51","TMEM213","MTNR1B",NA
"52","ZNF229","CNGA3",NA
"53","OPTC","WNT6",NA
"54","LTB","LOXHD1",NA
"55","OTUD6A","PRPF40A",NA
"56","CD37","PDZD4",NA
"57","SPINT2","CALML6",NA
"58","LINC00906","PSD",NA
"59","C4orf51","SRY",NA
"60","PLEKHG4B","CALM2",NA
"61","RPL39","LYZL6",NA
"62","CCT4","TMEM40",NA
"63","NAT10","PLEKHG4B",NA
"64","M1AP","SLC22A6",NA
"65","DSCAM","TUBB7P",NA
"66","NAA38","BLK",NA
"67","ARK2C","UNC13D",NA
"68","SLC25A48","GPR162",NA
"69","SKP1","FSCN2",NA
"70","MTNR1B","CFAP92",NA
"71","PROK1","PDIA2",NA
"72","SYCE1","GOT1L1",NA
"73","CHCHD2","GALNT9",NA
"74","CCDC85A","SYCE1",NA
"75","UNC13D","SBNO2",NA
"76","BAALC","TMBIM6",NA
"77","FGF12","GDF2",NA
"78","DERA","HCN2",NA
"79","HAP1","GABRR3",NA
"80","PFN3","TMEM213",NA
"81","SYT5","CLDN19",NA
"82","MAPK4","MAG",NA
"83","CIBAR2","COX7A1",NA
"84","EIF4A3","DPYSL4",NA
"85","FSCN2","ADORA2A",NA
"86","PRPF40A","CD164",NA
