"","Canonical","NonCanonical","Atypical"
"1",NA,"AHSG","LILRB5"
"2",NA,"YEATS4","CHAC1"
"3",NA,"NTN3",NA
"4",NA,"DPP9",NA
"5",NA,"UQCRC2",NA
"6",NA,"SPON2",NA
"7",NA,"ACAP1",NA
"8",NA,"UCN2",NA
"9",NA,"OR14I1",NA
"10",NA,"RETN",NA
"11",NA,"NOG",NA
"12",NA,"SLC11A1",NA
"13",NA,"PLGRKT",NA
"14",NA,"KNDC1",NA
"15",NA,"DAO",NA
"16",NA,"PROZ",NA
"17",NA,"TNFAIP6",NA
"18",NA,"TMEM72",NA
"19",NA,"HSPA8",NA
"20",NA,"FOLR3",NA
"21",NA,"OR2A14",NA
"22",NA,"TNFRSF6B",NA
"23",NA,"ADAM11",NA
"24",NA,"COL5A3",NA
"25",NA,"VWA5B1",NA
"26",NA,"ADAMTS4",NA
"27",NA,"PANK1",NA
"28",NA,"FAM30A",NA
"29",NA,"HAPLN2",NA
"30",NA,"UGP2",NA
"31",NA,"COL16A1",NA
"32",NA,"FAM162A",NA
"33",NA,"TRIM15",NA
"34",NA,"LINC00336",NA
"35",NA,"CD248",NA
"36",NA,"LILRB5",NA
"37",NA,"COL7A1",NA
"38",NA,"HTR3D",NA
"39",NA,"FMNL1",NA
"40",NA,"MCAM",NA
"41",NA,"EPB41L4B",NA
"42",NA,"TUBB1",NA
"43",NA,"CYP11B1",NA
"44",NA,"TMEM132A",NA
"45",NA,"SLC16A1",NA
"46",NA,"TMEM119",NA
"47",NA,"FCRL3",NA
"48",NA,"CETP",NA
"49",NA,"CXCR5",NA
"50",NA,"RIPOR3",NA
"51",NA,"C10orf53",NA
"52",NA,"SP140",NA
"53",NA,"SLIRP",NA
"54",NA,"PGLYRP1",NA
"55",NA,"TSPEAR",NA
"56",NA,"SOX18",NA
"57",NA,"SDS",NA
"58",NA,"ALX4",NA
"59",NA,"FER1L6",NA
"60",NA,"STC1",NA
"61",NA,"COL15A1",NA
"62",NA,"DOC2B",NA
"63",NA,"CFAP77",NA
"64",NA,"ROBO4",NA
"65",NA,"HOXC13",NA
"66",NA,"FIBIN",NA
"67",NA,"CKS1B",NA
"68",NA,"PPP6R1",NA
"69",NA,"MYOC",NA
"70",NA,"C11orf96",NA
"71",NA,"PLVAP",NA
"72",NA,"PROK2",NA
"73",NA,"ANGPTL2",NA
"74",NA,"EDN2",NA
"75",NA,"CXADR",NA
"76",NA,"KIF19",NA
"77",NA,"ARMC12",NA
"78",NA,"ITGAX",NA
"79",NA,"GNG11",NA
"80",NA,"QRICH2",NA
"81",NA,"ADGRL4",NA
"82",NA,"THSD7A",NA
"83",NA,"KCNK16",NA
"84",NA,"FAM20A",NA
"85",NA,"C1S",NA
"86",NA,"CRIP3",NA
"87",NA,"LCLAT1",NA
"88",NA,"DEFB119",NA
"89",NA,"DCSTAMP",NA
"90",NA,"FAIM2",NA
"91",NA,"GPR179",NA
"92",NA,"MLIP",NA
"93",NA,"CCL2",NA
"94",NA,"RPS15A",NA
"95",NA,"C15orf32",NA
"96",NA,"PCDHA4",NA
"97",NA,"ADGRF5",NA
"98",NA,"TBX20",NA
"99",NA,"BAIAP3",NA
"100",NA,"COL18A1",NA
"101",NA,"COL8A1",NA
"102",NA,"CD96",NA
"103",NA,"LIMS2",NA
"104",NA,"HOXA6",NA
"105",NA,"PDGFRB",NA
"106",NA,"VWF",NA
"107",NA,"CAMKV",NA
"108",NA,"OR1M1",NA
"109",NA,"PLEKHN1",NA
"110",NA,"CENPN",NA
"111",NA,"ZNF99",NA
"112",NA,"A4GNT",NA
"113",NA,"GBP5",NA
"114",NA,"CARD14",NA
"115",NA,"BHLHE22",NA
"116",NA,"OR52B6",NA
"117",NA,"IER3",NA
"118",NA,"COL4A2",NA
"119",NA,"CEBPB",NA
"120",NA,"PLIN4",NA
"121",NA,"DGKG",NA
"122",NA,"IRF4",NA
"123",NA,"TMPRSS11B",NA
"124",NA,"ABCG8",NA
"125",NA,"SERPING1",NA
"126",NA,"FBXO2",NA
"127",NA,"PDPN",NA
"128",NA,"RARRES2",NA
"129",NA,"COL4A1",NA
"130",NA,"ATP1A2",NA
"131",NA,"SHCBP1",NA
"132",NA,"GALNTL6",NA
"133",NA,"GPR12",NA
"134",NA,"TMEM130",NA
"135",NA,"CNTFR",NA
"136",NA,"PRSS41",NA
"137",NA,"PLEK",NA
"138",NA,"KRT5",NA
"139",NA,"DTX1",NA
"140",NA,"ZBED2",NA
"141",NA,"SIGLEC1",NA
"142",NA,"NPPA",NA
"143",NA,"MZB1",NA
"144",NA,"RNF207",NA
"145",NA,"WDR62",NA
"146",NA,"CST2",NA
"147",NA,"ATP13A4",NA
"148",NA,"CNN1",NA
"149",NA,"HTRA3",NA
"150",NA,"CLEC3B",NA
"151",NA,"CHRM1",NA
"152",NA,"EGR3",NA
"153",NA,"SAMD13",NA
"154",NA,"TMEM158",NA
"155",NA,"CD27",NA
"156",NA,"KCNF1",NA
"157",NA,"RASD1",NA
"158",NA,"NME5",NA
"159",NA,"IGFALS",NA
"160",NA,"VSTM5",NA
"161",NA,"HAPLN3",NA
"162",NA,"MGP",NA
"163",NA,"WIPF3",NA
"164",NA,"SCN9A",NA
"165",NA,"IL11",NA
"166",NA,"CKM",NA
"167",NA,"FPR1",NA
"168",NA,"SLC38A5",NA
"169",NA,"FBP2",NA
"170",NA,"PLA1A",NA
"171",NA,"TRIM40",NA
"172",NA,"TNC",NA
"173",NA,"HRH3",NA
"174",NA,"CSF2",NA
"175",NA,"PDCD4",NA
