"","Canonical","NonCanonical","Atypical"
"1","RELA","LEFTY1","DNAJC12"
"2","RANBP1","SLC39A8","NFKB1"
"3","OGFOD1","ATP5MC2","NECAP2"
"4","NUP43","EIF4H","SAMD4B"
"5","PES1","CNDP2","RAB27A"
"6","CHEK2","NECAP2","CCL19"
"7","SNRPD3","SAMD4B","HOXD13"
"8","HDHD5","WDR1","LRRC19"
"9","XRCC5","MPC2","RAP1A"
"10","EIF3D","NFKB1","PYCR3"
"11","SLC25A1","DOLPP1","LEFTY1"
"12","EIF4H","CENATAC","AKAP5"
"13","SMIM5","DCTD","PTTG1IP"
"14","MRPL19","TPRG1L","INSL5"
"15","SMC1A","EBLN2","E2F1"
"16","METTL13","SRP9","PLCD1"
"17","TCF20","BLOC1S6","ABCA8"
"18","DDX18","SQOR","FMO5"
"19","WDR18","IST1","SAMD1"
"20","TMEM259","NDUFAF7","NDUFAF7"
"21","HNRNPA0","MFN2","ST6GALNAC6"
"22","METRNL","NDUFS2","YDJC"
"23","COG8","NGRN","SLC39A8"
"24","HNRNPA3","COX5A","NGRN"
"25","MIF","NDUFA10","GUCA2B"
"26","BID","TM2D3","CRYM"
"27","CREBRF","PRKAR1A","CORO1A"
"28","EIF2B4","C3orf70","CCNDBP1"
"29","IPO11","TBC1D3F","LIX1L"
"30","TOMM22","CRYM","VEGFA"
