"","Canonical","NonCanonical","Atypical"
"1","RANBP1","LEFTY1","DNAJC12"
"2","SNRPD3","SLC39A8","HOXD13"
"3","OGFOD1","SAMD4B","CCL19"
"4","SMIM5","ATP5MC2","RAB27A"
"5","CHEK2","MPC2","SAMD4B"
"6","NUP43","SQOR","LRRC19"
"7","C8orf48","TPRG1L","LEFTY1"
"8","SMC1A","CNDP2","AKAP5"
"9","MIF","DCTD","INSL5"
"10","EIF3D","WDR1","ABCA8"
"11","SLC25A1","CRYM","E2F1"
"12","SLC9A1","DOLPP1","FMO5"
"13","METRNL","SRP9","GUCA2B"
"14","BID","C3orf70","ST6GALNAC6"
"15","CALB2","COX5A","PLCD1"
"16","EPB41L3","DNAJC12","RAP1A"
"17","EXO1","NANS","CRYM"
"18","ELOVL5","WIPF3","PYCR3"
"19","WDR18","TTC22","CLDN8"
"20","PTRH2","IST1","USHBP1"
"21","IPCEF1","NDUFS2","SST"
"22","CREBRF","CENATAC","GCG"
"23","TCF20","REEP6","SLC39A8"
"24","SIGMAR1","ETFA","MFSD4A"
"25","UGT2B15","EBLN2","VEGFA"
"26","ILDR1","PGM1","YDJC"
"27","MARS2","BLOC1S6","CCL21"
"28","TOMM22","HOXD13","PTGDS"
"29","UTP20","GOT2","CCNG2"
"30","PLCD1","MFN2","PDE9A"
"31","IPO11","CAB39","CCNDBP1"
"32","PARPBP","RHPN1","PTTG1IP"
"33","HSPE1","SLC9A2","SYNPO2"
"34","DIRAS3","CYSRT1","CD48"
"35","SMC2","LOC155060","CHGA"
"36","TSHZ2","CALB2","THBS4"
"37","PSMG1","NDUFA10","PDCD4"
"38","MCM6","IGHMBP2","HIGD1A"
"39","MPC2","RAB27A","SLC22A18AS"
"40","LSM2","SLC52A1","POM121"
"41","CEP126","G6PD","SI"
"42","GUCA2B","KCTD5","ADH1B"
"43","EIF1AX","COMMD4","LIX1L"
"44","NUP35","CDH1","PTGER4"
"45","NME1","ZFAND6","IL10RB"
"46","LONRF1","SH2D5","B3GNT7"
"47","ESCO2","IRX5","SAMD1"
"48","SLC39A10","TCEA3","SCARA5"
"49","CENPM","HNMT","MAP3K19"
"50","TFRC","KPNA7","TTC39A"
"51","CCAR2","SFT2D1","AQP8"
"52","PCDHB14","RPA4","POLA1"
"53","BIK","CCNDBP1","SLC16A9"
"54","EDN3","ZNF251","PACSIN2"
"55","SNU13","ATF1","CDC6"
"56","CDC45","UAP1","GDPD3"
"57","SEMA6A","DCTPP1","PLSCR4"
"58","ASB9","SPRED1","ABI3BP"
"59","GINS2","PACSIN2","PYY"
"60","PARVG","IMPA2","CLDN22"
"61","PRMT1","ST6GALNAC1","CPA3"
"62","RNF180","ALDH1B1","IPCEF1"
"63","LAS1L","VGLL1","SCG2"
"64","HIRA","DOP1B","UGP2"
"65","MANEA","SOCS2","KDM3A"
"66","AGPAT5","SCX","PLA2G10"
"67","TP53INP2","ADCY5","SULT2B1"
"68","PRRX2","PCDHA4","C3orf70"
"69","UBE2T","LMTK3","FFAR4"
"70","COQ3","RAP1A","GLO1"
"71","GLO1","DPP9","MCOLN2"
"72","GCAT","ATP5F1B","ADGRL3"
"73","FBXO5","GIGYF1","PLP2"
"74","CCL7","ACO2","TMEM59"
"75","BRCA1","ELOVL5","SELENOS"
"76","FDFT1","TCEAL8","CHST5"
"77","OIP5","VPS26C","SLC11A2"
"78","ENTPD3","MORF4L1","SQOR"
"79","SLCO2A1","CYP2C19","HMGCL"
"80","ECE1","MCHR2","CA1"
"81","PNO1","HSF1","ZNF443"
"82","SGO2","JRK","IST1"
"83","CEP78","DNAAF3","GHR"
"84","HDAC9","ATAT1","NANS"
"85","SNRPE","KCNH5","PNPLA6"
"86","FNDC5","AHSG","FUCA1"
"87","CDK5","SUCLG1","C1orf210"
"88","CENPK","FABP9","TMEM161A"
"89","FBL","NIP7","PIK3CG"
"90","CCL13","PPP6R1","STYK1"
"91","RPP40","ABCD1","NXPE4"
"92","TIMM10","FAM120C","ETHE1"
"93","C1orf53","UQCRC2","UGDH"
"94","TMEM184A","ARHGAP39","ELOVL6"
"95","CSE1L","NKAIN2","ZNRF3"
"96","DBI","HNRNPA1","REP15"
"97","WDR12","MANEA","STMN2"
"98","PIGW","GPR61","TMEM61"
"99","GATC","OSBPL3","SLC25A20"
"100","PBK","LTB4R","SUN2"
"101","SPC25","FUT6","GABARAPL2"
"102","BUB1B","ATP5PO","SLC4A4"
"103","PCDH7","SMYD1","EDNRB"
"104","EBP","C5AR2","DNAJC2"
"105","MMP28","CADM4","SAMD13"
"106","AK1","LGALS4","WIPI1"
"107","SPATA16","RNASE4","LGALS4"
"108","HK3","KMT5C","ITLN1"
"109","GMNN","PSMA5","CHP2"
"110","PPIL1","EPB41L1","CAVIN2"
"111","TBC1D10C","GOLGA7B","POLR1A"
"112","PCDHA4","SLN","AURKA"
"113","METTL21A","MEGF6","TPX2"
"114","RNF39","MOBP","ST6GALNAC1"
"115","CA1","FH","LPXN"
"116","BYSL","GFRA4","LRRC75B"
"117","GLCE","KDM2A","TMIGD1"
"118","SNORD17","GOLM2","GPD1L"
"119","AQP8","GALM","GNE"
"120","PUS7L","COMMD8","ZNF121"
"121","TPRKB","CIDEB","TCEAL7"
"122","NHP2","AKR7A2","MYO1G"
"123","TIMELESS","HCN3","ZG16"
"124","NIPSNAP1","CACNG4","RUNDC3B"
"125","MCM4","FGF11","LCK"
"126","FMN2","IMP3","PTGS1"
"127","POLA1","TYR","CD63"
"128","TNFAIP2","PTRHD1","STARD13"
"129","NAT2","ATP5F1A","TST"
"130","AADAT","DNAH12","ADH1C"
"131","FGR","VEZF1","NEDD4L"
"132","PRR14L","TBXAS1","R3HDM4"
