"","Canonical","NonCanonical","Atypical"
"1","SFTA3","COL16A1","SLC3A1"
"2","HBEGF","TNFRSF6B","ELAPOR1"
"3","NKX2.1","KLK10","KLK10"
"4","BLNK","GAS6.AS1","LGALS2"
"5","RFLNA","NETO2","LYZ"
"6","SNORA12","C3","MMP7"
"7","PRSS23","KYNU","HMGCS2"
"8","NETO2","IDO1","XIST"
"9","NRXN3","APOL2","OLFM4"
"10","MLPH","UBD",NA
"11","PFN2","NKX2.1",NA
"12","BNIP3","CAV2",NA
"13","STYXL2","IFI16",NA
"14","MUC17","APOLD1",NA
"15","ALDH1A1","PTPRD",NA
"16","IGFBP2","GSTM3",NA
"17","RPS4Y1","CKB",NA
"18","HLA.C","SERPINA1",NA
"19","MMP7","MUC17",NA
"20",NA,"FABP1",NA
"21",NA,"STYXL2",NA
