"","Canonical","NonCanonical","Atypical"
"1","RPL22L1","XIST","TNFRSF19"
"2","SMIM5","RPS4Y1","PDZK1P1"
"3","UGT2B15","TNFRSF6B","PDZK1IP1"
"4","UGT1A6","EIF1AY","NR4A1"
"5","ACE2","DDX3Y","CXCL1"
"6","GUCA2B","ADIRF","CXCL3"
"7","AQP8","DUOXA2","CD55"
"8","SAA1","IL1B","CEACAM6"
"9","SCNN1B","DUOX2","DEFA5"
"10","UGT2B17","TFF2","DNAJC15"
"11","REG3A","GAL","AKR1C1"
"12","GUCA2A","MUC5B","ALDH1A1"
"13","UGT1A10","MUC4","UGT1A6"
"14","CLCA4","ANPEP","DEFA6"
"15","ALDOB","ALDH1A1","RPS4Y1"
"16","CA1","GCNT3","CXCL2"
"17","TMIGD1","RBP2","APIP"
"18","PTPRD","C3","RBP1"
"19","ZG16","PCK1","TCIM"
"20","INSL5","UGT2B15","DUOXA2"
"21","SPINK5","MAGEA3","XIST"
"22","TRPM6","NXPE1","IGLV1.51"
"23","GAL","FAM3B","UGT1A4"
"24","MAGEA3","CXCL5","IGHG3"
"25","CKMT2","IL33","UGT1A10"
"26","CLDN8","REG3A","HLA.DRB3"
"27","B3GNT7","CEACAM7","SAA1"
"28","KLK6","DMBT1","IGHG1"
"29","CA4","RBP1","DUOX2"
"30","PLA2G2A","SPINK4","CCL20"
