"","Canonical","NonCanonical","Atypical"
"1","IGHG1","IGHG1","CGREF1"
"2","SLC22A6","HCN2","CAGE1"
"3","SYT5","SLC22A6","CNIH3"
"4","SPTBN4","PACRG","INHBA"
"5","SFTPC","PSD","MT1G"
"6","HCN2","SYT5","PITX2"
"7","LINC00671","LINC00671","COL12A1"
"8","INTS1","CD37","OLR1"
"9","ELAVL3","SPTBN4","CNTN3"
"10","FXYD1","CCKAR","IGFL4"
"11","KRT83","SFTPA1","MMP11"
"12","PSD","KRT83","ESM1"
"13","NYX","INHA","FABP6"
"14","CD37","GARIN5B","LINC02418"
"15","EVPLL","FXYD1","SPP1"
"16","GARIN5B","BAALC","COL8A1"
"17","EVA1B","SFTPC","SPINK5"
"18","SFTPA1","IL1RAPL1","DKK2"
"19","OPRM1","EVA1B","MMP13"
"20","PDZD4","M1AP","THBS2"
"21","KIF6","EVPLL","CXCL8"
"22","CDH23","TMCC2","DEFA6"
"23","PACRG","NYX","CA2"
"24","RBPJL","OPRM1","MMP3"
"25","INHA","ELAVL3","SI"
"26","NTN3","KIF6","MMP1"
"27","TTC9B","SARDH","CA1"
"28","SAMD14","CDH23","GCG"
"29","IL1RAPL1","OPTC","INSL5"
"30","WNT6","NOS1",NA
"31","CCKAR","GDF2",NA
"32","MYL2","PDZD4",NA
"33","LRTM2","TMEM105",NA
"34","HES7","OR10H2",NA
"35","LOC654780","PRPF40A",NA
"36","GHSR","TRPV5",NA
"37","GOT1L1","LCN1",NA
"38","M1AP","MAG",NA
"39","SARDH","TTC9B",NA
"40","SLC1A6","UBXN4",NA
"41","BAALC","LOC654780",NA
"42","TRPV5","SAMD14",NA
"43","TMEM88B","HES7",NA
"44","OPTC","PTCRA",NA
"45","GDF2","INTS1",NA
"46","FAM163A","C14orf180",NA
"47","CACNG7","LINC01547",NA
"48","DNAJB13","TULP1",NA
"49","OR10H2","HMX3",NA
"50","LCE1F","DPYSL4",NA
"51","TMEM40","FAM163A",NA
"52","PPP1R27","MYL2",NA
"53","RAC3","RBPJL",NA
"54","LCN1","HRH3",NA
"55","LINC01547","PPP1CC",NA
"56","LTA","EPO",NA
"57","MGAT5B","NTN3",NA
"58","SNCG","NALCN",NA
"59","GPR6","RAC3",NA
"60","DBP","SSPOP",NA
"61","SYNGAP1","SYCE1",NA
"62","SSTR4","COL2A1",NA
"63","SSPOP","SLC1A6",NA
"64","IQSEC3","LINC00906",NA
"65","DPYSL4","WNT6",NA
"66","LZTS1","SSTR4",NA
"67","NOS1","IQSEC3",NA
"68","TMCC2","ASB11",NA
"69","DNM1P35","MAPK4",NA
"70","HRH3","PDIA2",NA
"71","LCNL1","TMEM174",NA
"72","TMEM105","DLG2",NA
"73","EPO","VSX1",NA
"74","PDIA2","TMEM88B",NA
"75","ESPNL","GPR6",NA
"76","SLC26A1","LCNL1",NA
"77","PTCRA","SNCG",NA
"78","COL2A1","TDH",NA
"79","CCDC106","LZTS1",NA
"80","LOC391322","COX6A2",NA
"81","CACNG2","COX7A1",NA
"82","TULP1","KRT17P5",NA
"83","HMX3","LRTM2",NA
"84","TDH","CACNG2",NA
"85","ABHD1","ARK2C",NA
"86","EXOC3L2","WNT5B",NA
"87","GFRA2","CACNA1G",NA
"88","RAX","CCDC106",NA
"89","SHANK1","TMEM40",NA
"90","DLG2","LTA",NA
"91","GAS2L2","ALPI",NA
"92","CACNG5","GMNC",NA
"93","DBH","GOT1L1",NA
"94","LINC00906","ISCU",NA
"95","NDUFA4L2","LOC391322",NA
"96","WNT3A","PPP1R27",NA
"97","DHH","DSCAM",NA
"98","TLX3","GFAP",NA
"99","SYCE1","PLEKHG4B",NA
"100","COX6A2","DBP",NA
"101","NRG2","ADORA2A",NA
"102","ARK2C","NUTM1",NA
"103","GABRA5","SYNGAP1",NA
"104","CACNG3","TGM4",NA
"105","KRT17P5","SRSF2",NA
"106","SLC5A10","DBH",NA
"107","P2RX2","EIF5B",NA
"108","MAG","DNAJB13",NA
"109","NALCN","EXOC3L2",NA
"110","CSMD1","SSX2",NA
"111","ABCD1","ESPNL",NA
"112","ASB11","RGS8",NA
"113","GALNT9","LHX3",NA
"114","WNT9B","SIDT2",NA
"115","CRX","GABRA5",NA
"116","LOC339059","CACNG7",NA
"117","TMPRSS6","MGAT5B",NA
"118","FCN2","NDUFA4L2",NA
"119","PLEKHG4B","SCNN1D",NA
"120","SHISA7","BPIFB1",NA
"121","ADGRA1","ABHD1",NA
"122","HCN4","HMCN2",NA
"123","MAPK4","SLC26A1",NA
"124","TMEM174","KRBA2",NA
"125","LMF1","GRIN2A",NA
"126","PLPPR3","LCE1F",NA
"127","NUTM1","FCN2",NA
"128","SIDT2","CD7",NA
"129","VSX1","SIX3",NA
"130","SIX3","ABCD1",NA
"131","ADCY5","CASR",NA
"132","CRH","WNT9B",NA
"133","SSX2","NRG2",NA
