"","Canonical","NonCanonical","Atypical"
"1","MAFB","LIFR","LIFR"
"2","ANXA2R","GPR87","GPR87"
"3","LIFR","MAFB","CFH"
"4","GPR87","MUC16","MUC16"
"5","MUC16","ANXA2R","MAFB"
"6","PTHLH","CFH","ANXA2R"
"7","GBP6","PTHLH","PTHLH"
"8","CFH","KLHDC7B","PARP15"
"9","KLHDC7B","GBP6","GPX2"
"10","RHOH","CRIP2","VAMP5"
"11","MED29","PARP15","GMFG"
"12","CFAP126","ABCA8","CLEC2B"
"13","CRIP2","ACTN4","CRIP2"
"14","ACTN4","VAMP5","STAT1"
"15","SUSD2","TMEM45A","ABCA8"
"16","AXL","CCR5","TMEM45A"
"17","GGN","CLEC2B","KLHDC7B"
"18","EPHB6","RHOH","RAB34"
"19","LGALS17A","GMFG","PAF1"
"20","ABCA8","CCDC88A","MS4A7"
"21","LYPD2","GPX2","IGFBP6"
"22","CCR5","RAB34","CCR5"
"23","GATA3","GCNT2","IQCG"
"24","CCDC88A","IGFBP6","EMP3"
"25","EVI2B","EMP3","GBP5"
"26","VIL1","VIL1","ASCL2"
"27","PARP15","LGALS17A","GBP6"
"28","SIGLEC1","IQCG","VCAM1"
"29","APOL1","GZMK","BCAR3"
"30","APOBEC3D","TMTC1","KIR2DL4"
"31","CD27","GBP5","TMTC1"
"32","ZNF467","PSCA","GJA3"
"33","GZMK","LYPD2","GCNT2"
"34","CDK4","APOL1","ACTN4"
"35","GCNT2","MS4A7","SAMSN1"
"36","ADHFE1","CYTH4","PSCA"
"37","TMEM45A","AXL","CYTH4"
"38","RASAL3","GJA3","CCDC88A"
"39","DPEP2","CD27","CST6"
"40","TIGIT","SELL","CD109"
"41","FUT4","COL6A1","PSMD8"
"42","FMNL1","SIGLEC1","GZMK"
"43","GGCT","CD109","TSPAN4"
"44","SELPLG","DPYD","APOBEC3G"
"45","ZW10","VCAM1","COL6A1"
"46","MIA","CFAP126","CAV1"
"47","DPYD","MED29","PSENEN"
"48","CHST11","CST6","DOCK2"
"49","TMTC1","CHST2","CHST2"
"50","PSTPIP1","TMEM163","VIL1"
"51","HCST","ASCL2","SELL"
"52","TMEM163","GZMH","LY6E"
"53","GINS2","MIA","SYTL3"
"54","VAMP5","IL10RA","MMRN2"
"55","SELL","EVI2B","GZMH"
"56","PSCA","HCST","DPYD"
"57","CLEC2B","PAF1","SERPING1"
"58","C2orf74","ZNF467","IL10RA"
"59","SPDEF","KIR2DL4","CXCL13"
"60","DDX10","GIMAP7","CD48"
"61","MYB","APOBEC3G","MS4A6A"
"62","NLRC3","MMRN2","RAB31"
"63","GGH","SAMD4B","COQ8A"
"64","CYTH4","GATA3","SLC35G2"
"65","PML","TIGIT","CD53"
"66","COL6A1","LY6D","APOL1"
"67","EMP3","BCAR3","LGALS17A"
"68","MAP3K10","SYTL3","TMEM163"
"69","SAMD4B","HAVCR2","TUBB6"
"70","IGFBP6","ITGAL","GIMAP7"
"71","ARHGAP25","ADHFE1","ITGAL"
"72","CHEK1","SUPT5H","LY6D"
"73","LOXL4","EPHB6","ITGB2"
"74","ATP8B3","COQ8A","LYPD2"
"75","URB2","WNT7B","HAVCR2"
"76","DDX20","NLRC3","GNLY"
"77","MAD2L1","SUSD2","WARS1"
"78","IQCG","FMNL1","RHOH"
"79","TTN","DOCK2","IL2RB"
"80","WNT7B","CCL5","CD27"
"81","TMEM140","DPEP2","KLHL6"
"82","ADAM8","PSENEN","MIA"
"83","CD109","CD86","C1QC"
"84","FEN1","GIMAP5","NECAP2"
"85","SSPN","TSPAN4","SPATS2L"
"86","RUNDC3A","CD48","LY96"
"87","RAB34","PML","SRGN"
"88","GZMH","SLC35G2","HERC5"
"89","DCTPP1","C1QA","SPINT2"
"90","IL10RA","ZBED2","SIGLEC1"
"91","CENPH","CXCL13","CD8A"
"92","GIMAP7","MYB","PSMC4"
"93","CHST2","SSPN","HCST"
"94","SIRPG","TFF2","SAMD4B"
"95","IL16","P2RY8","TYROBP"
"96","ZBED2","SPTSSB","PHGR1"
"97","NOL11","RPIA","ITM2A"
"98","AIMP2","CHST11","CD86"
"99","TSPAN6","SP140","LAPTM5"
"100","GBP5","GNLY","RPIA"
"101","TBC1D10C","ICOS","FRMD6"
"102","GJA3","GGCT","FAM3C"
"103","RFC3","ARHGAP25","SPTSSB"
"104","C1QA","TBC1D10C","RGS2"
"105","TNFSF12","CAV1","APBB1IP"
"106","ADAMTSL4","SYNE1","GNG2"
"107","NUP160","C2orf74","C3AR1"
"108","UBE2T","SELPLG","DKK1"
"109","ACMSD","PAK4","BCL2A1"
"110","SP140","SAMSN1","LMO4"
"111","NARS2","TYROBP","CCL5"
"112","GSTP1","LY96","LCP2"
"113","P2RY8","CNTNAP3","PPFIBP2"
"114","SUPT5H","LAG3","SHISA3"
"115","FAM20A","PSTPIP1","CD163"
"116","CST6","C1QC","RPS28"
"117","LY6D","CLIP4","CAB39"
"118","MTCH2","FOXL2","ICOS"
"119","HAVCR2","IL2RB","GBP4"
"120","CD247","ITGB2","PLP1"
"121","CENPN","ATP8B3","PRR12"
"122","KLRK1","DKK1","GIMAP5"
"123","WDR3","MAOB","IFI35"
"124","CCL5","CD247","TUSC3"
"125","ITGAL","SIGLEC10","BCAT1"
"126","GIMAP5","CDK14","GIMAP4"
"127","GEMIN6","KLRC3","IKZF2"
"128","SMCO2","CD163","SPARCL1"
"129","MCM2","CRTAM","TNFSF4"
"130","SIGLEC10","ADAM28","FOXL2"
"131","RPL5","SERPING1","CDK14"
"132","PARP10","ITM2A","AXL"
"133","DENND6B","SIRPG","C1R"
"134","CSE1L","LMO4","C1QB"
"135","LOC151760","CD8A","KLRC3"
"136","SMIM43","LAIR1","GBP1"
"137","PRDX2","SAMD9L","ZEB1"
"138","CCT2","LY6E","TFF2"
"139","GMFG","ADAM8","RSAD2"
"140","TRANK1","RASAL3","SYNE1"
"141","TFB2M","CD53","ZNF781"
"142","MMRN2","SYNPO2","IKBIP"
"143","ADAM28","LOC151760","KRT7"
"144","NIM1K","PRF1","WNT7B"
"145","LAG3","ELFN2","HAND1"
"146","PRIM1","ARHGEF6","VSIG4"
"147","PLD3","TUBB6","MAOB"
"148","VCAM1","ADAMTSL4","RPL38"
"149","GPX2","GIMAP8","FCER1G"
"150","PLEKHF1","TMEM140","C1QA"
"151","TFF2","IL16","CRTAM"
"152","CSF1R","GBP4","TIGIT"
"153","CD86","ZEB1","CD24"
"154","MND1","GPR171","EID2"
"155","MS4A7","EPHA5","TYMP"
"156","DHFR","CD2","MAS1L"
"157","RPS7","KLHL6","ZNF467"
"158","TLR1","APBB1IP","CNTNAP3"
"159","PARVG","ZNF781","ADAMDEC1"
"160","CD37","CSF1R","C1S"
"161","CDO1","VSIG4","ZBED2"
"162","APOBEC3G","LAT2","PAK4"
"163","SMC2","PHGR1","SAMD9L"
"164","TAGAP","TLR1","CLIP4"
"165","U2AF1L4","ANXA10","COMMD10"
"166","COL22A1","FGL2","VIM"
"167","LRPPRC","TYMP","DERL1"
"168","SYNPO2","CDH12","FCGR3A"
"169","PAK4","PLEKHO1","CLSTN2"
"170","SUCNR1","TTN","CFTR"
"171","LAIR1","WARS1","ARHGAP29"
"172","VN1R1","RPS7","OASL"
"173","SYTL3","TNFSF4","ARHGEF6"
"174","IKZF1","HERC5","AP3S1"
"175","DNAI7","TRANK1","FGF2"
"176","RIMS2","FOXL2NB","ARHGAP9"
"177","C19orf33","LOXL4","FGL2"
"178","SERPINE1","DNAAF3","GZMA"
"179","SECTM1","TFPI","GJB6"
"180","ELFN2","PALM","FPR3"
"181","CNTNAP3","IFI35","EVI2B"
"182","TNFRSF18","IKZF1","NLRC3"
"183","COQ8A","ACKR4","P2RY8"
"184","SERBP1","ADA2","GIMAP8"
"185","ALYREF","RGS2","B4GALT1"
"186","SYNE1","MAP4K1","PLEKHO1"
"187","FAM83D","LSP1","GAP43"
"188","EEF1E1","PAEP","EVI2A"
"189","FIGNL1","PLD3","EPHA5"
"190","SHCBP1","SMCO2","PECAM1"
"191","NCKAP1L","FPR3","PAEP"
"192","SPTSSB","C19orf33","MNDA"
"193","SYT12","FGF2","SLA"
"194","RANBP1","TUSC3","RIGI"
"195","NEK2","CDO1","FAM186A"
"196","CLIP4","C1R","HPS3"
"197","DPH5","KRT7","LAT2"
"198","VASN","LCP2","CRCT1"
"199","CLEC1A","PSMC4","DACH1"
"200","IGF1","WARS2","ACKR4"
"201","OR2A14","ATP10B","PML"
"202","MCM6","SLA","OSBP2"
"203","SNRPE","JCAD","CD2"
"204","RPIA","FAM98C","ANXA10"
"205","DNAJA2","GGH","EFNA4"
"206","WARS2","IL17RB","RASSF2"
"207","ZNF367","VSIR","PRF1"
"208","ICOS","CD37","SLC16A4"
"209","SERPINB9P1","STAT1","ADA2"
"210","MRPS23","IRF4","ITGA4"
"211","NIPSNAP2","RAB31","TNNI2"
"212","SOX15","BCAT1","CD14"
"213","CLNS1A","FASLG","UNC13A"
"214","CENPA","HAPLN3","IL17RB"
"215","TCP1","MYO5A","ADHFE1"
"216","DOK2","FYB1","MYO5A"
"217","MGAT3","ACMSD","TFPI"
"218","TMEM106A","FAM20A","SP140"
"219","PALM","GSTP1","VAMP8"
"220","ASCL2","RIMS2","ATP10B"
"221","TMEM151A","TBX21","CDH12"
"222","ORC1","MGAT3","LAG3"
"223","STX1A","RSAD2","MTARC1"
"224","CD3G","VASN","ADORA2A"
"225","PYHIN1","PPFIBP2","HRH3"
"226","C1orf159","KLRK1","MYB"
"227","EXO1","TNNI2","KCNQ1"
"228","HNRNPA1","NKG7","SSPN"
"229","PRPS2","ADORA2A","VSIR"
"230","FAM98C","FRMD6","FOXL2NB"
"231","FOLR2","NT5E","AUTS2"
"232","IL18RAP","PARP12","ANXA5"
"233","DNAAF1","ARHGAP9","HNF1B"
"234","MRPL48","GGN","NT5E"
"235","TBX21","ADAMDEC1","GPR171"
"236","LRRIQ1","URB2","APOE"
"237","MSH6","GJD3","CFAP126"
"238","SPAST","GLI2","DOCK8"
"239","PLEKHG2","PDSS1","TRIM22"
"240","SUCLG1","FIGNL1","TEKTL1"
"241","CHRD","AUTS2","NPPA"
"242","HAPLN3","SPDEF","GATA3"
"243","SYT8","SPARCL1","GLI2"
"244","KIR2DL4","ZNF326","ANXA1"
"245","MAOB","EID2B","HOPX"
"246","EXOC3L2","CCL8","STK17B"
"247","CATSPERG","DDX20","PARP14"
"248","GPR171","BCL2A1","SMTN"
"249","PRF1","ZNF114","TBCB"
"250","ZNF365","MUC6","TBC1D10C"
"251","APOO","GJB6","VSX1"
"252","CFAP68","UNC13A","LST1"
"253","NFKBID","PECAM1","ST3GAL5"
"254","SLC35G2","OASL","MGST1"
"255","ODAD1","MGST1","TMCC3"
"256","RPS3A","MNDA","TARP"
"257","DNAAF3","TSPAN6","CCR1"
"258","LSM4","APOE","MLXIPL"
"259","RPS3","MAK","FBN2"
"260","MAP4K1","CD52","EOMES"
"261","LYAR","ZNRF3","FMNL1"
"262","DHCR7","C3AR1","ZNF114"
"263","CD48","SLC16A4","TMEM89"
"264","TCN2","LRPPRC","SP110"
"265","BCAS2","C1QB","HOXC13"
"266","CFAP20","FCER1G","RAP1B"
"267","ARHGAP30","SOHLH1","FYB1"
"268","FOXL2","CD96","IFNG"
"269","ABI3","ZBBX","CD52"
"270","CRTAM","APOBEC3D","CCL8"
