"","Canonical","NonCanonical","Atypical"
"1","MLIP","MLIP","WNT8B"
"2","LINC00598","WNT8B","COL14A1"
"3","TCHHL1","TRIM48","OR11A1"
"4","TRIM48","OR13H1","RPS24"
"5","ADGRE2","COL14A1","QPCTL"
"6","OR13H1","LINC00598","GYPA"
"7","FBP2","TCHHL1","ITGA10"
"8","GPR149","GYPA","OR13H1"
"9","LINC01193","FBP2","HELT"
"10","GYPA","SPEG","PATE1"
"11","SPEG","RPS24","F13B"
"12","OR10K1","ADGRE2","TRIM48"
"13","LCE1D","HELT","ZNF804A"
"14","MYOZ1","GPR149","SPEG"
"15","CRIP3","C5orf52","MLIP"
"16","XAGE2","GPR179","GPR179"
"17","COL14A1","CCDC27","ANKRD2"
"18","LOC339059","PLCB2","CDH6"
"19","OR2M7","ATP11AUN","C5orf52"
"20","PAK3","QPCTL","UTP14C"
"21","GALNT16","PATE1","FAM186A"
"22","ATP11AUN","OR11A1","FBP2"
"23","TTBK1","FAM186A","ALDH1A1"
"24","CYP4A22","TPSD1","ZNF451"
"25","OSBP2","POLN","TCHHL1"
"26","ST8SIA5","PFN4","CNIH3"
"27","CCDC27","KIF2B","KIF2B"
"28","TPSD1","PAK3","PNCK"
"29","CIMAP1A","ITGA10","CCDC177"
"30","SPAM1","SPAM1","LINC02687"
"31","WNT8B","FRMPD2","NMBR"
"32","PLCB2","ANKRD2","CCDC27"
"33","RPS24","OR2M7","OR10A7"
"34","EVPL","WNT10B","PPP1R2C"
"35","NYAP1","RHBG","NFE4"
"36","PFKFB1","ZNF99","AOC3"
"37","POLN","VCX2","SGCD"
"38","HELT","ASPDH","OR4A15"
"39","VCX2","CCDC177","FGF6"
"40","C5orf52","LCE1D","SERPINB9"
"41","FRMPD2","F13B","C9orf153"
"42","CAMKV","MYOZ1","KCNJ6"
"43","CLEC17A","HES7","SLC22A16"
"44","LOXHD1","CAPN11","NOX3"
"45","SLC38A3","ST8SIA5","FOSB"
"46","GPR179","KCNIP2","VAT1"
"47","PFN4","LINC01193","RASGRP3"
"48","ALX4","NUTM1","NT5C1B"
"49","PCDHA1","LMNTD1","ATP11AUN"
"50","WNT10B","TLCD3B","WDR47"
"51","RHBG","XAGE2","OR10V1"
"52","BMP8A","P2RY6","LINC00598"
"53","LMNTD1","PFKFB1","NBPF22P"
"54","HMX1","DBNDD1","ZNF99"
"55","KCNIP2","LOC339059","CUBN"
"56","UTF1","OSBP2","LGALS14"
"57","SGCZ","SCRT2","LINC02145"
"58","GNRH2","OR4A15","OR5W2"
"59","OR2T6","CAMKV","MIR17HG"
"60","VGLL2","ZFP57","ZDHHC23"
"61","HES7","KCNJ4","GPC6"
"62","TSPOAP1","IL21","PRSS55"
"63","FAM186A","DCAF12L1","NIM1K"
"64","FOXB2","KCP","ADORA3"
"65","MATN1","NBPF22P","POLN"
"66","MRGPRE","LRTM1","SSTR2"
"67","KCNJ4","TSPOAP1","OR4K2"
"68","GPR151","B3GAT1","TPSD1"
"69","CAPN11","HSPA12A","PRKCH"
"70","GGN","AQP7","VMO1"
"71","ASPDH","PCDHA1","AQP7"
