"","Canonical","NonCanonical","Atypical"
"1","PACRG","PACRG","CAGE1"
"2","SLC22A6","MAG","ZNF883"
"3","OPRM1","SLC22A6","IGFL4"
"4","PPP1R27","CCKAR","COL10A1"
"5","MYL2","HCN2","TNFAIP6"
"6","IL1RAPL1","IGHG1","CCN1"
"7","MAG","NOS1","SPP1"
"8","IGHG1","IL1RAPL1","OLR1"
"9","LRTM2","CD37","KIAA1549L"
"10","HCN2","ELAVL3","COL12A1"
"11","CDH23","OPRM1","SCN3A"
"12","ELAVL3","CDH23","ADAMTS12"
"13","SFTPC","SFTPC","CNIH3"
"14","NOS1","PPP1R27","CLEC5A"
"15","CD37","SFTPA1","SULF1"
"16","WNT6","EVA1B","SERPINB2"
"17","SYT5","SYT5","COL1A1"
"18","SPTBN4","LINC00906","INHBA"
"19","LINC00671","LINC00671","WT1"
"20","EVA1B","MYL2","EGFL6"
"21","SFTPA1","SLC1A6","PITX2"
"22","DBH","DLG2","IBSP"
"23","CCKAR","SPTBN4","MMP11"
"24","EPO","DSCAM","THBS2"
"25","KRT17P5","LRTM2","NKD1"
"26","INTS1","OR10H2","EPHX4"
"27","CCDC106","NYX","SFRP2"
"28","DSCAM","GDF2","MT1G"
"29","DNAJB13","PTCRA","TREM1"
"30","NYX","OPTC","MMP13"
"31","LINC00906","KRBA2","LINC02418"
"32","SIDT2","SSX2","CSF3"
"33","SLC1A6","KRT83","CA1"
"34","SSX2","PSD","PPBP"
"35","CACNG7","DBH","MMP1"
"36","TMEM105","WNT5B","OLFM4"
"37","KRT83","SARDH","CXCL8"
"38","GOT1L1","WNT6","RPS4Y1"
"39","MARCHF10","TMEM105","CLDN8"
"40","SLC26A1","KIF6","XIST"
"41","EVPLL","M1AP",NA
"42","FXYD1","C1QTNF2",NA
"43","CACNG5","CCDC106",NA
"44","ADGRA1","EPO",NA
"45","HMX3","LOC654780",NA
"46","PTCRA","BAALC",NA
"47","PHF24","TMCC2",NA
"48","C1QTNF2","ASB11",NA
"49","DLG2","DNAJB13",NA
"50","CACNA1I","FXYD1",NA
"51","GALNT9","EVPLL",NA
"52","FCN2","NUTM1",NA
"53","PLEKHG4B","ST8SIA5",NA
"54","GABRA5","CACNG7",NA
"55","SAMD14","INTS1",NA
"56","HPCAL4","SAMD14",NA
"57","OR10H2","SIDT2",NA
"58","M1AP","GFAP",NA
"59","SSPOP","LOXHD1",NA
"60","LOXHD1","KRT17P5",NA
"61","LOC654780","C14orf180",NA
"62","KRT73","INHA",NA
"63","RNF166","VWA3B",NA
"64","LTA","TRPV5",NA
"65","SARDH","GOT1L1",NA
"66","MGAT5B","HS6ST3",NA
"67","GDF2","ICAM4",NA
"68","KIF6","HMX3",NA
"69","CACNG8","COL2A1",NA
"70","TMEM88B","FFAR3",NA
"71","LHX3","SLC26A1",NA
"72","WNT3A","SLC25A48",NA
"73","LZTS1","NXNL1",NA
"74","IQSEC3","ADGRA1",NA
"75","PSD","PLEKHG4B",NA
"76","OPTC","FCN2",NA
"77","NUTM1","GALNT9",NA
"78","TMCC2","RAC3",NA
"79","KRBA2","HPCAL4",NA
"80","CACNG2","CACNG2",NA
"81","CNGA3","FAM163A",NA
"82","INHA","SSPOP",NA
"83","GFAP","CIBAR2",NA
"84","TBX5","SLC5A10",NA
"85","OXT","GABRA5",NA
"86","SHANK1","PHF24",NA
"87","SIX3","LHX9",NA
"88","VWA3B","TGM4",NA
"89","SSTR4","MARCHF10",NA
"90","CLEC4M","ELANE",NA
"91","FFAR3","PDZD4",NA
"92","HRH3","LCNL1",NA
"93","LCNL1","GARIN5B",NA
"94","LOC391322","RGS8",NA
"95","RAC3","HES7",NA
"96","TRPV5","CNGA3",NA
"97","ASB11","UGT3A1",NA
"98","TSKS","TTC9B",NA
