"","Canonical","NonCanonical","Atypical"
"1","PTHLH","PTHLH","PTHLH"
"2","VIL1","VIL1","GJA3"
"3","LGALS17A","GJA3","CLEC2B"
"4","GJA3","LGALS17A","VIL1"
"5","CCR5","CLEC2B","LGALS17A"
"6","CLEC2B","CCR5","CXCL13"
"7","SIGLEC1","CXCL13","GBP5"
"8","GZMK","GBP5","CCR5"
"9","GZMH","COL6A1","COL6A1"
"10","GBP5","GZMK","CYTH4"
"11","IL10RA","CYTH4","PHGR1"
"12","CXCL13","IL10RA","GZMK"
"13","COL6A1","GZMH","GMFG"
"14","C1QA","SIGLEC1","IL10RA"
"15","ABCA8","ABCA8","GZMH"
"16","CYTH4","PHGR1","ABCA8"
"17","HAVCR2","HAVCR2","HAVCR2"
"18","CD86","C1QA","TNFSF4"
"19","CD27","ITGAL","CD48"
"20","LOC151760","GMFG","SIGLEC1"
"21","PHGR1","CD86","ITGAL"
"22","ITGAL","ANXA2R","KIR2DL4"
"23","LAG3","CD27","C1QA"
"24","ADAMTSL4","CD48","EMP3"
"25","TIGIT","SLC35G2","SYTL3"
"26","SIRPG","TIGIT","SLC35G2"
"27","ANXA2R","TNFSF4","C1QC"
"28","RASAL3","SYTL3","ANXA2R"
"29","NLRC3","LAG3","DOCK2"
"30","PSTPIP1","KIR2DL4","MS4A7"
"31","ZBED2","EMP3","CD86"
"32","FAM20A","LOC151760","SAMSN1"
"33","KLHDC7B","CRTAM","CRTAM"
"34","SP140","KLHDC7B","FGL2"
"35","CCL5","CCL5","SYNE1"
"36","PRF1","ADAMTSL4","CD27"
"37","SIGLEC10","NLRC3","MUC16"
"38","PARVG","C1QC","CCDC88A"
"39","HCST","SIGLEC10","CD53"
"40","RIMS2","P2RY8","MNDA"
"41","COL22A1","SYNE1","P2RY8"
"42","CRTAM","GIMAP5","TIGIT"
"43","SLC35G2","ZBED2","TYROBP"
"44","P2RY8","FGL2","SERPING1"
"45","GIMAP5","DOCK2","CCL5"
"46","CD48","MUC16","LAG3"
"47","SYTL3","SP140","KLHDC7B"
"48","GMFG","PRF1","VCAM1"
"49","NIM1K","SIRPG","GIMAP5"
"50","PLD3","CCDC88A","SIGLEC10"
"51","CDH12","LAT2","TSPAN4"
"52","KIR2DL4","CDH12","LAT2"
"53","EMP3","RIMS2","IGFBP6"
"54","SYNE1","HCST","ITM2A"
"55","FMNL1","MS4A7","KLHL6"
"56","KLRK1","GIMAP7","CD163"
"57","LAT2","FAM20A","IL2RB"
"58","GIMAP7","MNDA","NLRC3"
"59","MUC16","DPYD","LY96"
"60","FGL2","NKG7","PAEP"
"61","TNFSF4","ITM2A","FGF2"
"62","NKG7","TYROBP","GIMAP7"
"63","MAP3K10","PSTPIP1","GPX2"
"64","C1QC","IL2RB","DPYD"
"65","DPYD","ICOS","FCER1G"
"66","NCKAP1L","FGF2","LCP2"
