"","x"
"1","Atypical"
"2","Atypical"
"3","Atypical"
"4","Atypical"
"5","Canonical"
"6","Atypical"
"7","Canonical"
"8","Atypical"
"9","Atypical"
"10","Canonical"
"11","Canonical"
"12","Canonical"
"13","Canonical"
"14","Atypical"
"15","Canonical"
"16","Canonical"
"17","Canonical"
"18","Canonical"
"19","Atypical"
"20","Canonical"
"21","Canonical"
"22","Canonical"
"23","NonCanonical"
"24","Canonical"
"25","Canonical"
"26","Canonical"
"27","Canonical"
"28","Canonical"
"29","Canonical"
"30","Canonical"
"31","Canonical"
"32","Canonical"
"33","Canonical"
"34","Canonical"
"35","Canonical"
"36","Atypical"
"37","Atypical"
"38","Canonical"
"39","Canonical"
"40","Canonical"
"41","Canonical"
"42","Atypical"
"43","Atypical"
"44","Canonical"
"45","Canonical"
"46","Atypical"
"47","Atypical"
"48","Atypical"
"49","Canonical"
"50","NonCanonical"
"51","Canonical"
"52","Atypical"
"53","Canonical"
"54","Atypical"
"55","Canonical"
"56","Canonical"
"57","Atypical"
"58","Canonical"
"59","Canonical"
"60","Atypical"
"61","Atypical"
"62","Canonical"
"63","Canonical"
"64","Atypical"
"65","Canonical"
"66","Canonical"
"67","Atypical"
"68","Canonical"
"69","Canonical"
"70","Canonical"
"71","Canonical"
"72","Atypical"
"73","Canonical"
"74","Canonical"
"75","Atypical"
"76","Canonical"
"77","Canonical"
"78","Canonical"
"79","Canonical"
"80","Atypical"
"81","Canonical"
"82","Atypical"
"83","Canonical"
"84","Atypical"
"85","Canonical"
"86","Atypical"
"87","Atypical"
"88","Canonical"
"89","Canonical"
"90","Atypical"
"91","Canonical"
