"","Canonical","NonCanonical","Atypical"
"1","TRIM48","FCRL5","ZNF99"
"2","B3GAT1","WSCD2","TRIM48"
"3","ZNF99","DEFB123","WSCD2"
"4","HES7","SPMIP10","PADI6"
"5","ZSCAN23","ZNF99","ZSCAN23"
"6","PDCD1LG2","CLRN1","C6"
"7","SPAM1","CCDC185","B3GAT1"
"8","SPEG","TMEM30B","PDCD1LG2"
"9","WSCD2","PATE4","CLRN1"
"10","PADI6","ALG5","SLC10A2"
"11","SLC10A2","RLN3","HES7"
"12","C6","PADI6","FCRL5"
"13","LCE1D","PIP5KL1","ANKRD2"
"14","ANKRD2","PCDHA12","WNT8B"
"15","DBNDD1","KNDC1","SSTR2"
"16","SSTR2","KIRREL3","TTC16"
"17","OR13H1","WDR38","DEFB123"
"18","ANO5","CDKL2","SPEG"
"19","PLEKHH2","GLDN","KNDC1"
"20","SPEM1","MYL3","SPMIP10"
"21","FREY1","CHSY1","MYL3"
"22","PLA2R1","C6","DBNDD1"
"23","TTC16","URAHP","TMEM30B"
"24","CYP4F22","WNT8B","FREY1"
"25","MAPT","HPD","OR13H1"
"26","WNT8B","ROS1","ATP4A"
"27","PCDHA1","VWC2L","DSPP"
"28","LOXHD1","DSPP","RLN3"
"29","PIK3R5","PLPP7","CYP4F22"
"30","CLRN1","TMC2","HELT"
"31","PTCRA","TTC16","SPAM1"
"32","NOTCH1","FAM230I","KRT79"
"33","HELT","FBXW10B","SPATA31D3"
"34","EXOC3L2","TRIM48","RTP1"
"35","ADGRE2","OR10A7","CRYBB3"
"36","GCM2","CRYBB3","CDKL2"
"37","H2BC11","ATP4A","KIRREL3"
"38","TPSD1","SLC5A3","PCDHA12"
"39","ADCY5","ANKRD2","RASGEF1C"
"40","DRD3","SLC10A2","CYP2C19"
"41","ASB18","HSPH1","EXOC3L2"
"42","CYP2C19","KRT79","H2BC11"
"43","LRTM1","FIGLA","REG1CP"
"44","REG1CP","PPP1R1C","VWC2L"
"45","LINC00598","PXT1","PIK3R5"
"46","RTP1","MSX1","GPR12"
"47","PCDHA4","SSTR2","KCNK16"
"48","KCNK16","PDCD1LG2","PIP5KL1"
"49","FBP2","LHFPL1","PPP1R1C"
"50","PFN4","ZCCHC13","TMC2"
"51","ARHGAP33","TEX13A","TPSD1"
"52","PAPPA2","OR4D5","SPEM1"
"53","YWHAEP7","SPATA31D3","FBXW10B"
"54","FUT5","CLEC2D","ROS1"
"55","ATP4A","ABCC1","C1orf127"
