"","x"
"1","Canonical"
"2","Atypical"
"3","NonCanonical"
"4","Atypical"
"5","Canonical"
"6","NonCanonical"
"7","Canonical"
"8","Canonical"
"9","Canonical"
"10","Canonical"
"11","Canonical"
"12","NonCanonical"
"13","NonCanonical"
"14","NonCanonical"
"15","Canonical"
"16","Canonical"
"17","NonCanonical"
"18","NonCanonical"
"19","Canonical"
"20","Canonical"
"21","Canonical"
"22","Canonical"
"23","Canonical"
"24","NonCanonical"
"25","Canonical"
"26","Canonical"
"27","Canonical"
"28","Canonical"
"29","Canonical"
"30","Canonical"
"31","Canonical"
