"","Canonical","NonCanonical","Atypical"
"1","FTCD","CCL21","KIF25.AS1"
"2","KIF25.AS1","FTCD","PAEP"
"3","LOC151760","KIF25.AS1","ABCA8"
"4","FRG2C","VIP","MGST1"
"5","PAEP","LOC151760","DISP2"
"6","ATP8B3","UNC5A","IGKV3D.20"
"7","AMD1","PAEP","LTBP2"
"8","LIME1","NKAIN4","ANXA8L1"
"9","SFT2D1","ABCA8","CAV1"
"10","YME1L1","IGLV8.61","KIF25"
"11","COX20","FRG2C","IGKV3D.11"
"12","MRPL19","MARCHF4","MUC16"
"13","ANXA8L1","SRRM3","CLIC3"
"14","ALS2CL","FRG2","ZBED2"
"15","ABCA8","ATP8B3","SLC12A2"
"16","KIF25","SERPINE1","FRMD6"
"17","YWHAQ","FABP4","IGKV1.5"
"18","MMP24","ZNF114","GPR87"
"19","BCAS2","MGST1","CLRN3"
"20","STX1A","SLC25A34","IGFBP6"
"21","NUP133","DISP2","NT5E"
"22","DISP2","ANXA8L1","LINC00842"
"23","SRP9","KIF25","CST6"
"24","MGST1","WNT7B","FAP"
"25","EEF1E1","IGKV3D.20","CDX1"
"26","TFB2M","GFPT2","CYP24A1"
"27","NMD3","ANXA8","CFTR"
"28","NUDCD2","DENND6B","GGH"
"29","IGKV3D.20","MIR7.3HG","DIO2"
"30","PSMD14","AMD1","DHRS2"
"31","THAP1","ANGPTL4","MEST"
"32","GDI2","COL22A1","IGKV1D.39"
"33","RBM18","XIRP1","IGKV1OR1.1"
"34","HSPA9","TAGLN3","SCEL"
"35","CNIH4","ZBED2","PPP1R1B"
"36","C1D","FMNL1","CLEC2B"
"37","ERVW.1","MMP24","ETS2"
"38","NUDT21","LTBP2","MGLL"
"39","IDH1","ALS2CL","MZB1"
"40","CCNG1","DCLK1","MYLK"
"41","CPSF6","STX1A","ARHGAP29"
"42","RBMX","ERVW.1","S100A2"
"43","NDUFA10","CAMK2N2","IGLV1.47"
"44","COA6","LIME1","GUCY2C"
"45","SEPTIN7","KNDC1","CDH17"
"46","GGH","COX20","GPX2"
"47","AIMP2","TWIST2","GBP5"
"48","SNRPE","TMEM198","A2M"
"49","ZBED2","ZNF841","CLCF1"
"50","ANXA2R","ANXA2R","ARSL"
"51","DBI","ELFN2","AEBP1"
"52","ATP5F1C","YME1L1","CD24"
"53","GPATCH4","DPYD","COL5A2"
"54","RPL7","CHRNB2","TSPAN6"
"55","ECH1","GGH","CGREF1"
"56","NEK2","MAK","POU2AF1"
"57","PGGHG","ZKSCAN5","ASCL2"
"58","VPS26C","MUC16","SYBU"
"59","UBA2","IGKV3D.11","FOXF1"
"60","DDX21","RPS14","ACTG2"
"61","CKS1B","COL5A3","TRIM2"
"62","LRRC40","COL6A1","TNFAIP2"
"63","NIPSNAP2","RRN3","CFH"
"64","NPM1","EIF4B","IL1R1"
"65","PRR15L","ITGA8","TAGLN"
"66","PCNP","SLC12A2","NAV3"
"67","ABHD17C","LINC00842","TPSAB1"
"68","ASF1A","SFT2D1","CD53"
"69","NOP16","FLRT2","PDGFRB"
"70","FOSL1","IGKV2D.28","DKK3"
"71","TXNDC12","MATR3","TSPAN4"
"72","EIF1AX","DCBLD2","C1R"
"73","NCKAP1","UBASH3B","CPM"
"74","TOP6BL","RIPOR3","PDGFRA"
"75","HNRNPA0","ANGPTL2","TCF4"
"76","HNRNPA1","TNFAIP6","PHGR1"
"77","MAT2B","TRO","CCNG1"
"78","TMEM44","MRPL19","SIX4"
"79","SKP1","IGLV3.10","CEBPA"
"80","MRPS35","LAT2","ANTXR1"
"81","CANX","HSPA9","LAPTM5"
"82","FBXO5","RPL12","MS4A6A"
"83","IARS2","LRCH4","DKK1"
"84","WDR3","UNC13A","VIL1"
"85","FUBP1","CST6","TIMP2"
"86","LINC00842","LRRC56","GALNT6"
"87","CIAO2A","RPS3A","C1S"
"88","KATNA1","FAM30A","VGF"
"89","SLC23A3","CRIP2","TNNT1"
"90","UBE2T","VASN","PLEKHS1"
"91","AP3M1","PRR15L","LST1"
"92","SLC25A46","GPR87","PRR15"
"93","GRPEL2","MAPK8IP2","IGHM"
"94","CFAP20","IGLL3P","IL18"
"95","RBM7","CAV1","CCDC186"
"96","C1QBP","SYTL3","IGHA2"
"97","ENSA","CCNG1","SPOCK1"
"98","MPC2","CLRN3","MIR17HG"
"99","UQCRC2","IGKV1.5","NAT2"
"100","CCT4","PADI2","HSD17B2"
"101","TM2D1","TPCN1","LMCD1"
"102","SNRNP40","IRF4","C1QB"
"103","YARS2","ECH1","GNLY"
"104","SMG8","OTUD5","RASA4"
"105","MAD2L1","CYP24A1","ATP10B"
"106","NOL11","RPL18A","IGHA1"
"107","MRPL39","CCDC198","MS4A12"
"108","PPID","NIPSNAP2","CD14"
"109","DEK","HNRNPM","DCN"
"110","TCEAL8","NUDT19","CLDN1"
"111","BTG3","DIMT1","TRNP1"
"112","LSM4","DDX20","TGFA"
"113","UQCRFS1","CLIC3","SPARC"
"114","KHDRBS1","MRPS35","DNM1"
"115","PPA1","RPP38","SERPING1"
"116","PKP2","NPM1","IGHG3"
"117","MOB4","ST13","C11orf96"
"118","CMPK1","BICDL1","PLAT"
"119","ISOC1","MZB1","PROX1"
"120","ZNF367","COA6","CAV2"
"121","TMED2","ASF1A","FHDC1"
"122","EIF1B","UBQLN4","GDPD5"
"123","GPT","KREMEN2","IGLV1.51"
"124","PANK3","AIMP2","G0S2"
"125","RCN2","EIF1AX","IGHG2"
"126","ING2","PDSS1","SEMA3B"
"127","DR1","YWHAQ","ACTA2"
"128","SLC4A1AP","TSPAN6","IGHV4.31"
"129","TSPAN6","FRAT2","DACH1"
"130","APPL1","GPT","DDC"
"131","MSMO1","IGLV1.40","IGHG1"
"132","MND1","PEAR1","COL5A1"
"133","MUC16","GAS7","FSTL1"
"134","CST6","SYBU","GDF15"
"135","PNO1","PGGHG","LUM"
"136","RAP1A","WDR3","PALD1"
"137","SNX7","GLT8D2","APIP"
"138","SMC2","RPS12","COL6A3"
"139","VBP1","IGFBP6","MSN"
"140","RPL5","YARS2","TPD52L1"
"141","MRPS27","GPATCH4","HLA.DRB4"
"142","SYBU","SPACDR","FAM47E"
"143","EML3","RPL7","LDHB"
"144","IGKV3D.11","SLC49A3","TFF3"
"145","RRS1","NOP16","CIBAR1"
"146","PKN2","DDX21","FCGR3A"
"147","TRIM13","IMMT","NNMT"
"148","AGPS","CHPF2","PLAGL1"
"149","PHLDB1","IGKV1D.12","LCP1"
"150","MCM6","FAP","PLCB4"
"151","HDAC6","NT5E","AADAC"
"152","CBX1","ABCB10","PMEPA1"
"153","PSMD7","RASAL3","MSLN"
"154","NHP2","RRS1","COL17A1"
"155","DDRGK1","LRRC40","PROM1"
"156","C9orf40","TRIM2","COL3A1"
"157","SLC12A2","PTHLH","LRP4"
"158","LTBP2","ZC3H8","AKAP12"
"159","SUCLG1","NUDT21","CRIP1"
"160","EIF3H","CIAO2A","CDHR1"
"161","ARMT1","CDH17","KRT23"
"162","CCDC117","CTSZ","SFTA2"
"163","FAIM","ADHFE1","PCDHA11"
"164","TMEM70","MEST","SLC5A1"
"165","GLCE","TECPR1","BMP2"
"166","HAT1","BCAS2","PTPRO"
"167","CYB5A","DBI","PIGR"
"168","NAA50","CCT3","SERPINA1"
"169","STARD7","GMFG","CALB1"
"170","PPT1","GYPC","RUBCNL"
"171","CYP2D6","ATXN7L3B","PIWIL1"
"172","PSMA5","FOSL1","CTTNBP2"
"173","PRDX4","TADA1","PSCA"
"174","TCEA1","UNC50","ACE2"
"175","ST13","TIGIT","C2CD4A"
"176","EEIG2","EEF1E1","PDZK1IP1"
"177","SMAD5","C1QBP","CCL20"
"178","FASTKD5","RSL1D1","COL1A2"
"179","TRIM2","RPL18","KRT20"
"180","SDCBP","GDI2","CCL4"
"181","RHOA","WARS2","KLK10"
"182","MZB1","SDHAF1","CDKN2A"
"183","SGO2","IGKV1D.39","HLA.DRB3"
"184","GPR87","ZNF146","GAL"
"185","ATXN7L3B","RSPO2","ANXA13"
"186","CBLL1","GRPEL2","POSTN"
"187","RFC3","MND1","ANXA1"
"188","IMP3","ZNF611","SORBS2"
"189","CLRN3","NOX4","PLAAT4"
"190","ETFA","NUP133","DAPK1"
"191","NUP37","UBA2","NUPR1"
"192","LRIF1","BIRC7","AHNAK2"
"193","ETF1","PHLDB1","ZNF711"
"194","DCTD","FBXO5","REG3A"
"195","COPS2","RASSF7","CKMT2"
"196","VCPIP1","TFB2M","LY6G6D"
"197","RAD1","TOP6BL","MMP3"
"198","CD58","SLC20A1","BMP7"
"199","GFM1","RPL26","SMOC2"
"200","WDR45","YBX1","REG1A"
"201","AK6","TMEM44","SLC43A3"
"202","IL20RA","CABP4","MLPH"
"203","FAM72B","EIF2S3","CEL"
"204","CYP24A1","RPL3","IDO1"
"205","APOO","IGKV1OR1.1","NXPE1"
"206","PDCD7","NACA2","CYP4X1"
"207","FUNDC1","TNC","MUC4"
"208","MROH7","RBM18","DDX3Y"
"209","FAM200C","CANX","SERPINB5"
"210","ARL6IP1","ACP5","ALDH1A1"
"211","PACC1","TNFAIP2","SAMD5"
"212","PPP1CC","SCN3A","TACSTD2"
"213","PTPN11","CRCP","XIST"
"214","MRPL50","TCEAL8","FAM3B"
"215","TFRC","LBR","STYXL2"
"216","ASCC3","ACBD6",NA
"217","ALYREF","RBMX",NA
"218","TGS1","NUDCD2",NA
"219","KIF2A","FRMD6",NA
"220","NIP7","TRBV9",NA
"221","CKS2","THAP1",NA
"222","NDC1","MMP2",NA
"223","IDI1","LRIG3",NA
"224","PYURF","TBCA",NA
"225","ARL2BP","TNS2",NA
"226","HIKESHI","AP3M1",NA
"227","IGKV1.5","GBP5",NA
"228","ACADM","CLCF1",NA
"229","CRACR2B","CDX1",NA
"230","COX5A","SRSF2",NA
"231","MSH6","EMP3",NA
"232","ATP6AP2","PTPRCAP",NA
"233","TOMM70","IGLV1.47",NA
"234","TNS2","SLC23A3",NA
"235","MTFR1","LTB",NA
"236","CDC5L","ISOC1",NA
"237","HSPA8","MIEF1",NA
"238","ATP6V0E1","HNRNPA0",NA
"239","SYPL1","TRIM63",NA
"240","TCIRG1","S100A2",NA
"241","SCD","DCTPP1",NA
"242","RPL15","DOK7",NA
"243","AGRN","SMG8",NA
"244","TMEM68","ABTB1",NA
"245","MYB","DHRS2",NA
"246","STMN1","SLC16A1",NA
"247","TMED3","ADAMDEC1",NA
"248","TNC","MYB",NA
"249","SYT17","CLIP2",NA
"250","PBK","HNRNPA1",NA
"251","MZT1","HINT1",NA
"252","PSMG1","CHCHD1",NA
"253","RBM3","FGF2",NA
"254","SNRPD1","DAP3",NA
"255","CDH17","IDH1",NA
"256","TMEM50B","SNRPE",NA
"257","XRCC4","CLEC2B",NA
"258","C1GALT1C1","NDUFAF2",NA
"259","GAS6","CCNC",NA
"260","RAD51C","NEK2",NA
"261","PRPS2","USP2",NA
"262","RSPO2","CNIH4",NA
"263","SLC16A1","RBM12",NA
"264","PPIH","UQCRC2",NA
"265","TNFAIP2","PRDX4",NA
"266","CENPA","MRPS27",NA
"267","ATP5MC3","SIGLEC1",NA
"268","P4HB","RPL14",NA
"269","SLC44A3","PPID",NA
"270","RCN1","ISLR",NA
"271","NEURL1B","SYNE1",NA
"272","CCT2","NAV3",NA
"273","TMX1","FOXL1",NA
"274","EBNA1BP2","RAD50",NA
"275","ZBTB33","ATP5F1C",NA
"276","PRDX2","SMURF1",NA
"277","SLC39A6","CSTF3",NA
"278","CYP2J2","DBR1",NA
"279","HSBP1","MAP4K1",NA
"280","HAUS1","TFE3",NA
"281","SEPHS2","PPA1",NA
"282","MICAL1","CCDC117",NA
"283","SEC11C","ETS2",NA
"284","AGMAT","AEBP1",NA
"285","MED28","CCS",NA
"286","PRKDC","TRIM13",NA
"287","FUT4","GLCE",NA
"288","FEN1","PLEKHO1",NA
"289","RFK","CREG1",NA
"290","MKKS","CCR7",NA
"291","CRCP","CCSAP",NA
"292","DDX10","PRDX3",NA
"293","SLC25A32","SNRNP40",NA
"294","MED21","MROH7",NA
"295","SLBP","SEPTIN7",NA
"296","PRCP","FUNDC1",NA
"297","BPNT2","TXNDC16",NA
"298","STRAP","RPS9",NA
"299","MRPS23","APOO",NA
"300","CISD2","RPS5",NA
"301","IDH3A","GEMIN5",NA
"302","SLF1","CCT6A",NA
"303","PARP12","ECM2",NA
"304","DHCR7","CHCHD2",NA
"305","KCTD20","EIF3J",NA
"306","FLVCR1","SMAD5",NA
"307","TMEM98","AGPS",NA
"308","DHFR","IMP3",NA
"309","EXTL2","CYP2D6",NA
"310","IGFBP6","TBX2",NA
"311","CHPT1","CHPT1",NA
"312","MANEA","C1D",NA
"313","MRFAP1","IFFO1",NA
"314","GCSH","SIGLEC10",NA
"315","TXNDC16","NOL7",NA
"316","EXOSC3","NHP2",NA
"317","SEMA3B","FUT4",NA
"318","RSPO3","TBPL1",NA
"319","CTSA","CD27",NA
"320","CISD1","SYT17",NA
"321","CLCF1","CARMN",NA
"322","NAV3","LRP8",NA
"323","MRPL13","GGCT",NA
"324","TMEM19","IGF1",NA
"325","RPS15A","WDR45",NA
"326","FAP","URB2",NA
"327","H2AZ1","PKP2",NA
"328","PIP5K1B","BTG3",NA
"329","ANKRD46","MPC2",NA
"330","KCTD18","PANK3",NA
"331","MORN2","NSA2",NA
"332","MTDH","NDUFA10",NA
"333","ACAT2","SCD",NA
"334","GBP5","CDKN2AIP",NA
"335","MICALL2","ZDHHC4",NA
"336","UBE2V2","DRAP1",NA
"337","CDA","FUBP1",NA
"338","MEST","CHKB",NA
"339","SHMT2","MSMO1",NA
"340","HSD17B11","HSD17B12",NA
"341","MRPS28","TRAPPC14",NA
"342","RIDA","VAMP5",NA
"343","SUCLA2","NOL11",NA
"344","TPD52","SFPQ",NA
"345","ABHD12","OSTC",NA
"346","HMGCR","UACA",NA
"347","LGALS4","SPHK1",NA
"348","RAD21","CPSF6",NA
